depot	menopause_def	set_name	model	contrast	n	estimate	se	t	p	conf_low	conf_high
visceral	3group	acute_beta_adrenergic	rin_isch_hardy	post_vs_peri	180	0.21113283453054965	0.14683670168426455	1.4378750823791846	0.1523077434592463	-0.07666710077060884	0.49893276983170814
visceral	3group	acute_beta_adrenergic	rin_isch_hardy_ge	peri_vs_pre	180	-0.01137386754241301	0.29296884871057105	-0.038822788130793554	0.9691775466143373	-0.5855928110151323	0.5628450759303063
visceral	3group	acute_beta_adrenergic	rin_isch_hardy_ge	post_vs_pre	180	-0.11172406360355704	0.2968553956069243	-0.3763585410840719	0.708152840720307	-0.6935606389931287	0.47011251178601465
visceral	3group	acute_beta_adrenergic	rin_isch_hardy_ge	post_vs_peri	180	-0.10035019606114402	0.24356881541615058	-0.4119993599742654	0.6820015116347201	-0.5777450742767991	0.3770446821545111
visceral	3group	adrenergic_receptors	base	peri_vs_pre	180	-0.01756306474062965	0.0892707143774834	-0.19673937710819475	0.8442584944588485	-0.19253366492049714	0.15740753543923783
visceral	3group	adrenergic_receptors	base	post_vs_pre	180	-0.13719829971058292	0.08983297081754203	-1.52725996326275	0.12849151379059626	-0.3132709225129653	0.038874323091799445
visceral	3group	adrenergic_receptors	base	post_vs_peri	180	-0.11963523496995326	0.09511264027167542	-1.2578268737807365	0.21012066704481758	-0.3060560099024371	0.06678553996253056
visceral	3group	adrenergic_receptors	rin	peri_vs_pre	180	-0.003737275754466402	0.08944175458408216	-0.041784463775842794	0.96671815489633794	-0.1790431147392674	0.17156856323033462
visceral	3group	adrenergic_receptors	rin	post_vs_pre	180	-0.12304629164638713	0.09002181993366878	-1.3668496342003742	0.1734257998483985	-0.29948905871637793	0.05339647542360369
visceral	3group	adrenergic_receptors	rin	post_vs_peri	180	-0.11930901589192072	0.09478277271802986	-1.2587626682630841	0.2097926694193966	-0.3050832504192592	0.0664652186354178
visceral	3group	adrenergic_receptors	rin_isch	peri_vs_pre	180	0.005025455011197256	0.08602270049506362	0.058420102859775246	0.9534810396740262	-0.16357903795912745	0.17362994798152195
visceral	3group	adrenergic_receptors	rin_isch	post_vs_pre	180	-0.095639136873895	0.08683412025644255	-1.101400424066589	0.2722436577696269	-0.2658340125765224	0.0745557388287324
visceral	3group	adrenergic_receptors	rin_isch	post_vs_peri	180	-0.10066459188509225	0.0912531086883873	-1.1031360282622638	0.27149144660089286	-0.27952068491433135	0.07819150114414686
visceral	3group	adrenergic_receptors	rin_isch_hardy	peri_vs_pre	180	0.06977681581995769	0.08750509627710604	0.7974028803875896	0.42632943791208666	-0.10173317288317014	0.24128680452308554
visceral	3group	adrenergic_receptors	rin_isch_hardy	post_vs_pre	180	-0.004942887840821698	0.0898794981819625	-0.05499460879070265	0.9562073367067631	-0.1811067042774682	0.1712209285958248
visceral	3group	adrenergic_receptors	rin_isch_hardy	post_vs_peri	180	-0.07471970366077939	0.09016789234465852	-0.8286730644115552	0.40845136875202204	-0.2514487726563101	0.10200936533475131
visceral	3group	adrenergic_receptors	rin_isch_hardy_ge	peri_vs_pre	180	0.20907695277291033	0.18209550091306595	1.1481719851646723	0.25605358627506764	-0.1478302290166989	0.5659841345625196
visceral	3group	adrenergic_receptors	rin_isch_hardy_ge	post_vs_pre	180	-0.03140329581474048	0.18451119359516657	-0.17019723954332014	0.8655030566677279	-0.39304523526126695	0.33023864363178596
visceral	3group	adrenergic_receptors	rin_isch_hardy_ge	post_vs_peri	180	-0.24048024858765082	0.15139078999427316	-1.588473437497405	0.11812774624418018	-0.5372061969764262	0.05624569980112459
visceral	3group	lipolysis_core	base	peri_vs_pre	180	-0.008661475654856036	0.14172652938160082	-0.06111400379765796	0.9513377599001103	-0.2864454732427936	0.26912252193308156
visceral	3group	lipolysis_core	base	post_vs_pre	180	-0.17292913026399487	0.142619169867651	-1.2125237471545458	0.22693703762458542	-0.4524627032045908	0.10660444267660107
visceral	3group	lipolysis_core	base	post_vs_peri	180	-0.16426765460913884	0.15100119339277146	-1.0878566646944292	0.278145870638798	-0.4602299936589709	0.1316946844406932
visceral	3group	lipolysis_core	rin	peri_vs_pre	180	0.05240645266211766	0.1357683280692107	0.3859991016122876	0.6999661911796089	-0.2136994703535353	0.3185123756777706
visceral	3group	lipolysis_core	rin	post_vs_pre	180	-0.11042030600300966	0.13664883967199037	-0.808058862907733	0.4201537591916593	-0.3782520317601108	0.15741141975409145
visceral	3group	lipolysis_core	rin	post_vs_peri	180	-0.1628267586651273	0.1438757394857849	-1.1317179619515687	0.2593014289916872	-0.44482320805726566	0.11916969072701106
visceral	3group	lipolysis_core	rin_isch	peri_vs_pre	180	0.0618393845197855	0.133404445804238	0.463548153489057	0.643550832164965	-0.199633329256521	0.323312098296092
visceral	3group	lipolysis_core	rin_isch	post_vs_pre	180	-0.08091696620002131	0.1346627997382391	-0.6008858152163011	0.5486979741514258	-0.34485605368697	0.18302212128692735
visceral	3group	lipolysis_core	rin_isch	post_vs_peri	180	-0.1427563507198068	0.14151578969770637	-1.0087662374972461	0.3144875006316541	-0.4201272985273113	0.13461459708769768
visceral	3group	lipolysis_core	rin_isch_hardy	peri_vs_pre	180	0.15405469074893116	0.13468187020965405	1.1438413389205258	0.25429752994290505	-0.10992177486199076	0.4180311563598531
visceral	3group	lipolysis_core	rin_isch_hardy	post_vs_pre	180	0.04284798615011453	0.13833638752099722	0.3097376396619501	0.7571398200857489	-0.22829133339104002	0.3139873056912691
visceral	3group	lipolysis_core	rin_isch_hardy	post_vs_peri	180	-0.11120670459881662	0.1387802641275259	-0.8013149801806705	0.42406789368993036	-0.3832160222887674	0.1608026130911341
visceral	3group	lipolysis_core	rin_isch_hardy_ge	peri_vs_pre	180	0.5410109826580995	0.26014566548747897	2.0796463459974075	0.04241075443410454	0.031125478302640786	1.0508964870135582
visceral	3group	lipolysis_core	rin_isch_hardy_ge	post_vs_pre	180	0.14110161527519943	0.2635967775536597	0.5352933999600042	0.5946860555734014	-0.37554806872997354	0.6577512992803725
visceral	3group	lipolysis_core	rin_isch_hardy_ge	post_vs_peri	180	-0.3999093673829001	0.21628023544929578	-1.8490333457985064	0.07003372304780077	-0.8238186288635199	0.023999894097719632
visceral	3group	thermogenesis_program	base	peri_vs_pre	180	-0.18209540980304437	0.08726155432941451	-2.0867770600971616	0.038349324434418075	-0.3531280562886968	-0.011062763317391922
visceral	3group	thermogenesis_program	base	post_vs_pre	180	-0.20598210391023564	0.08781115641598206	-2.3457395656475595	0.02010333078853967	-0.3780919704855604	-0.03387223733491082
visceral	3group	thermogenesis_program	base	post_vs_peri	180	-0.02388669410719127	0.0929719996569701	-0.25692352746336233	0.7975379121941673	-0.20611181343485266	0.15833842522047012
visceral	3group	thermogenesis_program	rin	peri_vs_pre	180	-0.14663958347775355	0.08409077411410139	-1.7438248728544312	0.082945631497745	-0.3114575007413923	0.01817833378588518
visceral	3group	thermogenesis_program	rin	post_vs_pre	180	-0.16968969842217183	0.0846361362272479	-2.00493200642519	0.04651176077634723	-0.3355765254275777	-0.0038028714167659405
visceral	3group	thermogenesis_program	rin	post_vs_peri	180	-0.023050114944418276	0.08911225822439911	-0.25866379557315616	0.7961986375357605	-0.19771014106424054	0.15160991117540398
visceral	3group	thermogenesis_program	rin_isch	peri_vs_pre	180	-0.14410072553908845	0.0840359512066924	-1.7147509306423208	0.08817129376320818	-0.30881118990420553	0.02060973882602865
visceral	3group	thermogenesis_program	rin_isch	post_vs_pre	180	-0.1617489235277725	0.08482863070969518	-1.9067727744105387	0.05819786922676246	-0.32801303971877505	0.004515192663230028
visceral	3group	thermogenesis_program	rin_isch	post_vs_peri	180	-0.017648197988684056	0.08914555977740282	-0.19797057792616646	0.8432991802180783	-0.19237349515239358	0.15707709917502546
visceral	3group	thermogenesis_program	rin_isch_hardy	peri_vs_pre	180	-0.11198654271601947	0.08713516492593157	-1.2852049205531726	0.20046886429245414	-0.28277146597084535	0.058798380538806386
visceral	3group	thermogenesis_program	rin_isch_hardy	post_vs_pre	180	-0.11328180575335782	0.0894995289502272	-1.2657251617084657	0.20734339802218263	-0.2887008824958031	0.06213727098908749
visceral	3group	thermogenesis_program	rin_isch_hardy	post_vs_peri	180	-0.0012952630373383456	0.08978670391487857	-0.014426000519701752	0.9885070322392406	-0.17727720271050035	0.17468667663582366
visceral	3group	thermogenesis_program	rin_isch_hardy_ge	peri_vs_pre	180	0.06626563564210455	0.17202899482760683	0.3852003885072424	0.7016305772457905	-0.27091119422000487	0.4034424655042139
visceral	3group	thermogenesis_program	rin_isch_hardy_ge	post_vs_pre	180	-0.03580337769485094	0.17431114447891852	-0.20539924628388323	0.8380470877765479	-0.3774532208735312	0.3058464654838294
visceral	3group	thermogenesis_program	rin_isch_hardy_ge	post_vs_peri	180	-0.10206901333695549	0.14302168531503467	-0.7136611004976449	0.4785677882224113	-0.38239151655442344	0.17825348988051243
visceral	strict2	acute_beta_adrenergic	base	post_vs_pre	126	0.10220699716664652	0.1393833980167161	0.7332795628528798	0.46478321153101443	-0.170984462946117	0.37539845727941
visceral	strict2	acute_beta_adrenergic	rin_isch	post_vs_pre	126	0.12564347656468494	0.14159811405286798	0.8873245057329922	0.37666453781587206	-0.1518888269789363	0.4031757801083062
visceral	strict2	acute_beta_adrenergic	rin_isch_hardy	post_vs_pre	126	0.2043989940971377	0.1544532884291475	1.3233709439012808	0.18829228019200842	-0.0983294512239914	0.5071274394182668
visceral	strict2	acute_beta_adrenergic	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	strict2	adrenergic_receptors	base	post_vs_pre	126	-0.1295358772479477	0.09012839498497748	-1.4372371467342633	0.15318964968295046	-0.3061875314185035	0.04711577692260813
visceral	strict2	adrenergic_receptors	rin_isch	post_vs_pre	126	-0.08971202983275417	0.08854143315127705	-1.0132208915059813	0.3129764549834347	-0.2632532388092572	0.08382917914374885
visceral	strict2	adrenergic_receptors	rin_isch_hardy	post_vs_pre	126	0.010122577691930444	0.09414323876060346	0.10752315115980994	0.914558123952016	-0.17439817027885232	0.19464332566271322
visceral	strict2	adrenergic_receptors	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	strict2	lipolysis_core	base	post_vs_pre	126	-0.1696349528745648	0.14966813263344073	-1.1334072917848568	0.2592476033685096	-0.46298449283610865	0.12371458708697905
visceral	strict2	lipolysis_core	rin_isch	post_vs_pre	126	-0.07293848689973187	0.1418247042632626	-0.5142861906790198	0.6079899415222344	-0.35091490725572655	0.2050379334562628
visceral	strict2	lipolysis_core	rin_isch_hardy	post_vs_pre	126	0.0830410329611959	0.14749600612510766	0.5630052985350642	0.5745085841437814	-0.20605113904401512	0.37213320496640695
visceral	strict2	lipolysis_core	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
visceral	strict2	thermogenesis_program	base	post_vs_pre	126	-0.20346243405126455	0.08800474091436249	-2.3119485602401135	0.02244344690814134	-0.375951726243415	-0.030973141859114067
visceral	strict2	thermogenesis_program	rin_isch	post_vs_pre	126	-0.15884339804294847	0.08465425090254536	-1.876378284013289	0.06301239750151183	-0.3247657298119374	0.007078933726040432
visceral	strict2	thermogenesis_program	rin_isch_hardy	post_vs_pre	126	-0.0944030299038498	0.09149206522442267	-1.0318165807306543	0.3042862310904288	-0.2737274777437182	0.08492141793601862
visceral	strict2	thermogenesis_program	rin_isch_hardy_ge	post_vs_pre	126	NA	NA	NA	NA	NA	NA
