depot	menopause_def	set_name	model	contrast	n	estimate	se	t	p	conf_low	conf_high
subcutaneous	3group	lipolysis_core	rin_isch_hardy_ge	peri_vs_pre	233	-0.21341400227653498	0.21181050775783275	-1.007570420068751	0.31642321504521725	-0.6285625974818871	0.2017345929288172
subcutaneous	3group	lipolysis_core	rin_isch_hardy_ge	post_vs_pre	233	-0.21671836394956123	0.19703808430869088	-1.0998805876027404	0.27438392283872876	-0.6029130091945953	0.16947628129547287
subcutaneous	3group	lipolysis_core	rin_isch_hardy_ge	post_vs_peri	233	-0.0033043616730262515	0.19379200092572135	-0.017051073611096992	0.9864344707203463	-0.3831366834874401	0.37652796014138756
subcutaneous	3group	thermogenesis_program	base	peri_vs_pre	233	-0.1719138539542063	0.06485821363474742	-2.6506103748454835	0.008597706771401299	-0.29903595267831123	-0.04479175523010137
subcutaneous	3group	thermogenesis_program	base	post_vs_pre	233	-0.1761539717583863	0.06561873317328196	-2.6845073539169007	0.00779694476275963	-0.30476668877801893	-0.04754125473875365
subcutaneous	3group	thermogenesis_program	base	post_vs_peri	233	-0.004240117804179988	0.06499092505196902	-0.0652416902942902	0.9480387354511578	-0.13162233090603925	0.12314209529767928
subcutaneous	3group	thermogenesis_program	rin	peri_vs_pre	233	-0.16324312183508624	0.06439392464659675	-2.5350702373086946	0.011915627112569747	-0.2894552141424159	-0.03703102952775661
subcutaneous	3group	thermogenesis_program	rin	post_vs_pre	233	-0.1715016942765583	0.06506606044955215	-2.635808793272941	0.008972595254741556	-0.29903117275768054	-0.04397221579543606
subcutaneous	3group	thermogenesis_program	rin	post_vs_peri	233	-0.008258572441472045	0.06443583825713638	-0.1281673780438077	0.8981299899764549	-0.13455281542545935	0.11803567054251526
subcutaneous	3group	thermogenesis_program	rin_isch	peri_vs_pre	233	-0.14980077115888654	0.0633447473969328	-2.3648491361122708	0.01888370317095022	-0.27395647605687484	-0.025645066260898255
subcutaneous	3group	thermogenesis_program	rin_isch	post_vs_pre	233	-0.134547957091296	0.06495223096649637	-2.071490926319351	0.039448083521550055	-0.26185432978562884	-0.007241584396963124
subcutaneous	3group	thermogenesis_program	rin_isch	post_vs_peri	233	0.015252814067590548	0.06368832671015881	0.23949151839088276	0.8109415307859886	-0.10957630628432072	0.1400819344195018
subcutaneous	3group	thermogenesis_program	rin_isch_hardy	peri_vs_pre	233	-0.10770284049383741	0.06485917705684702	-1.6605644009241634	0.09823855750224555	-0.23482682752525755	0.01942114653758273
subcutaneous	3group	thermogenesis_program	rin_isch_hardy	post_vs_pre	233	-0.04837862493923524	0.0681634364557266	-0.7097445119372472	0.4786210390268585	-0.18197896039245937	0.0852217105139889
subcutaneous	3group	thermogenesis_program	rin_isch_hardy	post_vs_peri	233	0.05932421555460217	0.0641732471569647	0.9244384254001979	0.3562802266392464	-0.06645534887304862	0.18510377998225297
subcutaneous	3group	thermogenesis_program	rin_isch_hardy_ge	peri_vs_pre	233	-0.13176251941483613	0.11776994556713342	-1.1188127733295623	0.26626474447711973	-0.3625916127264176	0.09906657389674536
subcutaneous	3group	thermogenesis_program	rin_isch_hardy_ge	post_vs_pre	233	-0.06944254896387883	0.10955624774866082	-0.6338529329992288	0.527820950801364	-0.28417279455125405	0.1452876966234964
subcutaneous	3group	thermogenesis_program	rin_isch_hardy_ge	post_vs_peri	233	0.0623199704509573	0.10775137476400333	0.578368216530418	0.5644928009969179	-0.14887272408648922	0.2735126649884038
subcutaneous	strict2	acute_beta_adrenergic	base	post_vs_pre	157	0.1648904209349694	0.11646173491195505	1.4158334586001693	0.15885674127379074	-0.0633745794924625	0.3931554213624013
subcutaneous	strict2	acute_beta_adrenergic	rin_isch	post_vs_pre	157	0.055867621947352564	0.10943548471880878	0.51050737419314	0.6104415439392761	-0.15862592810151263	0.2703611719962178
subcutaneous	strict2	acute_beta_adrenergic	rin_isch_hardy	post_vs_pre	157	0.06874256728517171	0.1215671007072561	0.5654701550439181	0.5726279660123772	-0.16952895010105024	0.3070140846713937
