design	gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000164924.18	YWHAZ	27822.949305809754	0.11077696571344461	0.05099561088486377	2.1722843160669894	0.029834224287346525	0.6588059809674968
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000105640.13	RPL18A	27219.84619348615	-0.03383567873006574	0.07414248505309999	-0.4563601922141268	0.6481309864363862	0.9464398943799699
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000100650.16	SRSF5	27909.085870644667	0.04249884690772692	0.07482422947861812	0.5679824196501944	0.5700469054224673	0.9349570609849442
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000131469.15	RPL27	27188.892020845164	-0.01663008313070967	0.06553693188843118	-0.253751322369201	0.7996876818352412	0.9805333183956602
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000111716.14	LDHB	27577.156560652224	0.24823425469367474	0.12205186086696986	2.0338424414867142	0.04196748382859478	0.6797827222183744
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000159388.6	BTG2	27964.68728181882	0.1739506229657628	0.17965520875447774	0.9682470337027022	0.3329210103244241	0.8815290465251268
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000166741.8	NNMT	26899.253601163306	-0.02485573363582491	0.1449648385702246	-0.17146043054974444	0.8638617414985268	0.9865425917975895
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000115524.17	SF3B1	27224.669396075664	-0.06652977908580945	0.055986438334384166	-1.188319547824318	0.23470753917518347	0.8394903194272727
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000133392.18	MYH11	28384.70841498279	-0.18931653195987996	0.2833215879264662	-0.6682036951205268	0.504003577081706	0.933809574711365
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000071967.12	CYBRD1	26665.805203881682	0.09560226312155629	0.10690134347998184	0.8943036636341114	0.37115944030360853	0.8906341780536909
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000130402.13	ACTN4	26914.932547491033	-0.07891859627046362	0.0681089130133201	-1.1587117277151298	0.24657370882114096	0.8447932335739364
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000127022.16	CANX	26585.194219118992	-0.005670687840534221	0.05829604163377514	-0.09727397747103259	0.922508820949803	0.9931359519487805
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000114391.13	RPL24	26328.19552263081	-0.0030266421941384744	0.06430734064139985	-0.04706526757211259	0.9624612091080452	0.9970255485010591
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000165119.21	HNRNPK	26236.891343641568	-0.030565890581584876	0.04481172508376759	-0.682095824796911	0.4951783605229205	0.9309462058651969
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000145425.10	RPS3A	25817.860925838628	-0.055038480307606	0.06311576197471994	-0.8720243341061276	0.383195102519338	0.8952538565855243
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000106991.14	ENG	26125.545480354263	-0.08789169310073036	0.09850693284995507	-0.8922386532388157	0.37226502816044577	0.8909626031484773
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000181163.14	NPM1	25811.999438885337	-0.015375793773448868	0.07721413877690404	-0.1991318431702564	0.8421596127563818	0.9834967293814564
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000158710.15	TAGLN2	25699.323068941583	-0.06438915805256734	0.08134652867625478	-0.791541558077114	0.4286280350866383	0.910869038388341
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000134352.20	IL6ST	26179.567486708318	-0.05025148700106729	0.08274890415046247	-0.6072767671907162	0.5436672538666905	0.933809574711365
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000115677.18	HDLBP	25784.342255958083	0.0022357314120054284	0.04593935814829954	0.048667014562722724	0.9611846632783295	0.9970255485010591
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000164056.11	SPRY1	25123.883284633208	-0.22420457390713155	0.15169800288110435	-1.4779665496509888	0.13941673182404002	0.7634842703346334
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000178209.17	PLEC	25999.505223281423	-0.12491967851747256	0.08808434396330256	-1.418182538426082	0.15613747854279175	0.7829870931421847
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000179094.16	PER1	26250.243621928235	0.20251057884535956	0.13368985696025235	1.5147789327470704	0.12982839733397186	0.7594431891580945
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000060138.13	YBX3	25724.786030488052	-0.04956312760543321	0.1098605152565138	-0.4511459598538023	0.6518843549233108	0.9464398943799699
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000140545.15	MFGE8	25935.865734864416	0.2206944275557458	0.08443337243363609	2.6138293567417286	0.008953374190919046	0.5403307388230543
~SMCENTER + SMRIN_z + SMTSISCH_z + DTHHRDY + group	ENSG00000197043.14	ANXA6	25566.39872066756	0.042426310963185825	0.10642789970337235	0.39863899486350074	0.6901592244882835	0.9543939272230128
