depot	sex	age_bin_label	family	gene	n	mean_vst	sd_vst
subcutaneous	Female	30-39	alpha2	ADRA2C	16	9.820563965878227	1.2191026918889893
subcutaneous	Female	40-49	beta	ADRB1	43	7.777753652098485	1.1069909407371705
subcutaneous	Female	40-49	beta	ADRB2	43	11.121919531004089	0.8578221120524764
subcutaneous	Female	40-49	beta	ADRB3	43	5.055272661547636	0.7680754690771905
subcutaneous	Female	40-49	alpha2	ADRA2A	43	13.207229014574901	0.7589889184935524
subcutaneous	Female	40-49	alpha2	ADRA2B	43	9.690801243463445	0.8309948117940104
subcutaneous	Female	40-49	alpha2	ADRA2C	43	10.376367243270948	0.8838418940455148
subcutaneous	Female	50-59	beta	ADRB1	76	7.936582610742811	1.2766968716994778
subcutaneous	Female	50-59	beta	ADRB2	76	11.354265114613794	0.8238930329918762
subcutaneous	Female	50-59	beta	ADRB3	76	4.920728741807324	0.6483932302235588
subcutaneous	Female	50-59	alpha2	ADRA2A	76	12.954123708482982	0.6992253890067739
subcutaneous	Female	50-59	alpha2	ADRA2B	76	9.819030420941322	0.9916396893839091
subcutaneous	Female	50-59	alpha2	ADRA2C	76	10.412597992872069	0.9882689048393416
subcutaneous	Female	60-69	beta	ADRB1	70	7.907500401937555	1.318501921469082
subcutaneous	Female	60-69	beta	ADRB2	70	11.315351805987131	0.9442428137506081
subcutaneous	Female	60-69	beta	ADRB3	70	4.959563066841154	0.8982645128145834
subcutaneous	Female	60-69	alpha2	ADRA2A	70	12.894547732697252	0.68427942550146
subcutaneous	Female	60-69	alpha2	ADRA2B	70	9.79605984110114	0.8004201739731389
subcutaneous	Female	60-69	alpha2	ADRA2C	70	10.287153922214415	0.854120548349485
subcutaneous	Female	70-79	beta	ADRB1	9	7.519116319147018	1.2409513558055443
subcutaneous	Female	70-79	beta	ADRB2	9	10.575370520137382	0.6096144484899249
subcutaneous	Female	70-79	beta	ADRB3	9	4.946180039090965	0.617676544750934
subcutaneous	Female	70-79	alpha2	ADRA2A	9	12.825759126057765	0.8329048914056524
subcutaneous	Female	70-79	alpha2	ADRA2B	9	10.199385764286918	0.5617587169935223
subcutaneous	Female	70-79	alpha2	ADRA2C	9	10.207323623330986	0.6804043467961879
visceral	Male	20-29	beta	ADRB1	35	8.710020106736616	1.3219441248558697
visceral	Male	20-29	beta	ADRB2	35	10.619594312581748	0.7990604844991401
visceral	Male	20-29	beta	ADRB3	35	5.992435379897717	1.3083696922637784
visceral	Male	20-29	alpha2	ADRA2A	35	12.49954989317338	1.1936609762963675
visceral	Male	20-29	alpha2	ADRA2B	35	9.413352917375045	0.715818125330097
visceral	Male	20-29	alpha2	ADRA2C	35	10.184530697480007	0.8992968751592088
visceral	Male	30-39	beta	ADRB1	34	8.806269096429771	0.9486472894174299
visceral	Male	30-39	beta	ADRB2	34	11.208860931502812	0.8404690185203775
visceral	Male	30-39	beta	ADRB3	34	5.5906476576907105	1.3102851937398092
visceral	Male	30-39	alpha2	ADRA2A	34	12.14819575398349	1.1871391085528378
visceral	Male	30-39	alpha2	ADRA2B	34	9.578677357133571	0.7282911764708994
visceral	Male	30-39	alpha2	ADRA2C	34	9.936554206581047	1.1183604291544134
visceral	Male	40-49	beta	ADRB1	54	8.923292817262928	1.0448310765450395
visceral	Male	40-49	beta	ADRB2	54	11.004057091067299	0.8753174970325973
visceral	Male	40-49	beta	ADRB3	54	5.584622022995842	1.2149467241456722
visceral	Male	40-49	alpha2	ADRA2A	54	11.922578497616454	1.2146741784877917
