var1	var2	r
endothelial	macrophage_markers	-0.19817292478853668
endothelial	fibrosis	-0.3245048763336488
endothelial	senescence	-0.2423411016753171
endothelial	review:tgfb_alk7_axis	-0.20218529700458238
endothelial	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.021859903390449048
endothelial	ADRB2	0.365112512622381
endothelial	ADRB3	-0.020820294176041986
endothelial	TGFB1	-0.1345157681976927
endothelial	ACVR1C	-0.07394717296135134
endothelial	TNF	-0.004066383394751617
endothelial	IKBKE	-0.30714405068530054
endothelial	TBK1	0.22383504703915857
endothelial	PDE3B	-0.04777205735190519
endothelial	adipocyte	-0.0818449852228154
endothelial	aspc	-0.3915026862800565
endothelial	endothelial	1
endothelial	macrophage	-0.25422668004231114
endothelial	t_cell	0.10939857402768799
endothelial	nk_cell	0.2140692759361289
endothelial	mast_cell	NA
macrophage	inflammation_cytokines	-0.1314141102597213
macrophage	macrophage_markers	0.3275409096498166
macrophage	fibrosis	0.10197892714213717
macrophage	senescence	0.07500678499893121
macrophage	review:tgfb_alk7_axis	0.35974914566350963
macrophage	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.06763168271240136
macrophage	ADRB2	0.002069220925101989
macrophage	ADRB3	0.13540891617663697
macrophage	TGFB1	0.03270629760997453
macrophage	ACVR1C	0.3382126865868283
macrophage	TNF	-0.11339712834537054
macrophage	IKBKE	0.11312178203657594
macrophage	TBK1	-0.021544084632833266
macrophage	PDE3B	0.2731517619131175
macrophage	adipocyte	0.2324112771017857
macrophage	aspc	0.018275744800432304
macrophage	endothelial	-0.25422668004231114
macrophage	macrophage	1
macrophage	t_cell	-0.0027108699728819975
macrophage	nk_cell	-0.29367780773660007
macrophage	mast_cell	NA
t_cell	inflammation_cytokines	0.07853154915936247
t_cell	macrophage_markers	0.03006919896761855
t_cell	fibrosis	0.03442580206735576
t_cell	senescence	0.07213956426437451
t_cell	review:tgfb_alk7_axis	-0.030987731410757693
t_cell	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.17936473390850594
t_cell	ADRB2	-0.06135402296044964
t_cell	ADRB3	-0.0280198407704729
t_cell	TGFB1	0.04308265565261195
t_cell	ACVR1C	-0.07503252404282747
t_cell	TNF	-0.020935857059240465
t_cell	IKBKE	-0.1185589193237482
t_cell	TBK1	0.2465550301088415
t_cell	PDE3B	-0.04437538074100074
t_cell	adipocyte	-0.16936042208421162
t_cell	aspc	-0.10084275303217106
t_cell	endothelial	0.10939857402768799
t_cell	macrophage	-0.0027108699728819975
t_cell	t_cell	1
t_cell	nk_cell	-0.07437358154921576
t_cell	mast_cell	NA
nk_cell	inflammation_cytokines	-0.05178756171630492
nk_cell	macrophage_markers	-0.1820689728811908
nk_cell	fibrosis	-0.16476200902139554
nk_cell	senescence	-0.12562067588715642
nk_cell	review:tgfb_alk7_axis	-0.1749898019215724
nk_cell	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	-0.18494493435366252
nk_cell	ADRB2	0.06926124626470218
nk_cell	ADRB3	-0.10851074037098848
nk_cell	TGFB1	-0.04792480615141463
nk_cell	ACVR1C	-0.13249824795712795
nk_cell	TNF	0.014786808750136078
nk_cell	IKBKE	-0.041708134668442316
nk_cell	TBK1	-0.040222719052601066
nk_cell	PDE3B	-0.16540655985694716
nk_cell	adipocyte	-0.1721937203436649
nk_cell	aspc	-0.12893433237820168
nk_cell	endothelial	0.2140692759361289
nk_cell	macrophage	-0.29367780773660007
nk_cell	t_cell	-0.07437358154921576
nk_cell	nk_cell	1
nk_cell	mast_cell	NA
mast_cell	inflammation_cytokines	NA
mast_cell	macrophage_markers	NA
mast_cell	fibrosis	NA
mast_cell	senescence	NA
mast_cell	review:tgfb_alk7_axis	NA
mast_cell	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	NA
mast_cell	ADRB2	NA
mast_cell	ADRB3	NA
mast_cell	TGFB1	NA
mast_cell	ACVR1C	NA
mast_cell	TNF	NA
mast_cell	IKBKE	NA
mast_cell	TBK1	NA
mast_cell	PDE3B	NA
mast_cell	adipocyte	NA
mast_cell	aspc	NA
mast_cell	endothelial	NA
mast_cell	macrophage	NA
mast_cell	t_cell	NA
mast_cell	nk_cell	NA
mast_cell	mast_cell	NA
