var1	var2	r
TBK1	inflammation_cytokines	0.28653993619267104
TBK1	macrophage_markers	0.31298371138541725
TBK1	fibrosis	0.1723792311927095
TBK1	senescence	0.24645436673729249
TBK1	review:tgfb_alk7_axis	0.07357890102352396
TBK1	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.6327590067260501
TBK1	ADRB2	0.0844975102676776
TBK1	ADRB3	-0.09664092437654542
TBK1	TGFB1	0.2266027050634302
TBK1	ACVR1C	-0.13833810670893587
TBK1	TNF	0.12392634243614377
TBK1	IKBKE	-0.1390983609072766
TBK1	TBK1	1
TBK1	PDE3B	-0.0767721810117781
TBK1	adipocyte	-0.22948604498873426
TBK1	aspc	-0.05919808053276288
TBK1	endothelial	0.18588217892409822
TBK1	macrophage	0.11458013506094611
TBK1	t_cell	0.23914690356209495
TBK1	nk_cell	-0.1632574624480596
TBK1	mast_cell	NA
PDE3B	inflammation_cytokines	0.25966372173980534
PDE3B	macrophage_markers	0.26980206595309214
PDE3B	fibrosis	-0.038131755725653534
PDE3B	senescence	-0.17119278567600713
PDE3B	review:tgfb_alk7_axis	0.5189147186282554
PDE3B	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.24595666158244867
PDE3B	ADRB2	0.3075346833012551
PDE3B	ADRB3	0.4125490459418593
PDE3B	TGFB1	-0.2423190351400599
PDE3B	ACVR1C	0.8648045382235466
PDE3B	TNF	0.1938807197123847
PDE3B	IKBKE	-0.256857803830928
PDE3B	TBK1	-0.0767721810117781
PDE3B	PDE3B	1
PDE3B	adipocyte	0.8486518590254294
PDE3B	aspc	-0.5011407322554505
PDE3B	endothelial	-0.37329073220404396
PDE3B	macrophage	0.16650015623731526
PDE3B	t_cell	-0.04617856087108612
PDE3B	nk_cell	-0.14687756639162902
PDE3B	mast_cell	NA
adipocyte	inflammation_cytokines	0.17895639924904486
adipocyte	macrophage_markers	0.12660265293663261
adipocyte	fibrosis	-0.1434907416186258
adipocyte	senescence	-0.3205315810585236
adipocyte	review:tgfb_alk7_axis	0.37655630737844975
adipocyte	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.06892349784561297
adipocyte	ADRB2	0.2591238469133605
adipocyte	ADRB3	0.4565560199926518
adipocyte	TGFB1	-0.34675608778025685
adipocyte	ACVR1C	0.7984697008713829
adipocyte	TNF	0.13052342982882995
adipocyte	IKBKE	-0.2436997256856228
adipocyte	TBK1	-0.22948604498873426
adipocyte	PDE3B	0.8486518590254294
adipocyte	adipocyte	1
adipocyte	aspc	-0.5187479905756861
adipocyte	endothelial	-0.3925095000124476
adipocyte	macrophage	0.10883744541211271
adipocyte	t_cell	-0.20624456815931216
adipocyte	nk_cell	-0.09231465865685279
adipocyte	mast_cell	NA
aspc	inflammation_cytokines	-0.2944583202156014
aspc	macrophage_markers	-0.2025045397024844
aspc	fibrosis	0.1846699909391906
aspc	senescence	0.34703757060295537
aspc	review:tgfb_alk7_axis	-0.26194998695155514
aspc	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	-0.27720948215991886
aspc	ADRB2	-0.24501003644147268
aspc	ADRB3	-0.22139925333670832
aspc	TGFB1	0.10239709532498475
aspc	ACVR1C	-0.4166299809160869
aspc	TNF	-0.1394604365081131
aspc	IKBKE	0.14086413260268077
aspc	TBK1	-0.05919808053276288
aspc	PDE3B	-0.5011407322554505
aspc	adipocyte	-0.5187479905756861
aspc	aspc	1
aspc	endothelial	-0.02884220231292217
aspc	macrophage	0.013030337796848975
aspc	t_cell	-0.18534585977466347
aspc	nk_cell	-0.07090167260829165
aspc	mast_cell	NA
endothelial	inflammation_cytokines	-0.16575121486989863
endothelial	macrophage_markers	-0.39970560105814623
endothelial	fibrosis	-0.27427045618174317
endothelial	senescence	-0.12722744756991705
endothelial	review:tgfb_alk7_axis	-0.38531107029261935
endothelial	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	-0.13441731265467663
endothelial	ADRB2	0.1551470139634135
endothelial	ADRB3	-0.257551616593141
endothelial	TGFB1	-0.06382665413067547
endothelial	ACVR1C	-0.3983890950559728
endothelial	TNF	-0.17818561879095227
endothelial	IKBKE	-0.22697331434002932
endothelial	TBK1	0.18588217892409822
endothelial	PDE3B	-0.37329073220404396
endothelial	adipocyte	-0.3925095000124476
endothelial	aspc	-0.02884220231292217
endothelial	endothelial	1
endothelial	macrophage	-0.4621195264915456
endothelial	t_cell	0.04056003799268364
endothelial	nk_cell	0.2368727451312002
endothelial	mast_cell	NA
macrophage	inflammation_cytokines	0.24549429628645958
macrophage	macrophage_markers	0.5759831182400009
macrophage	fibrosis	0.3370134762873241
macrophage	senescence	0.07042795135373346
macrophage	review:tgfb_alk7_axis	0.40541960990134124
macrophage	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.26719278054792317
macrophage	ADRB2	-0.13251431932849725
macrophage	ADRB3	0.10377145554139597
macrophage	TGFB1	0.29851355303872407
macrophage	ACVR1C	0.18782422226369663
macrophage	TNF	0.1428043588977349
macrophage	IKBKE	0.2750159420079984
macrophage	TBK1	0.11458013506094611
macrophage	PDE3B	0.16650015623731526
macrophage	adipocyte	0.10883744541211271
macrophage	aspc	0.013030337796848975
macrophage	endothelial	-0.4621195264915456
macrophage	macrophage	1
macrophage	t_cell	-0.07961379439546122
macrophage	nk_cell	-0.3002322602212349
macrophage	mast_cell	NA
t_cell	inflammation_cytokines	0.0399681100853353
t_cell	macrophage_markers	0.05776883521010137
t_cell	fibrosis	0.022767678488677834
t_cell	senescence	0.1513186110810578
t_cell	review:tgfb_alk7_axis	-0.0028616142752345293
t_cell	review:tnf_nfkB_ikkepsilon_tbk1_pde3b_axis	0.2353680024547906
t_cell	ADRB2	-0.11130093546878407
t_cell	ADRB3	-0.13417649635933018
t_cell	TGFB1	0.12252800943403691
