depot	sex	set_name	category	fraction	rho	p	n
subcutaneous	Female	tnf_ikk_tbk_pde3b_axis	catecholamine_resistance	adipocyte	-0.5074867655846752	1.1791513667927783e-16	233
subcutaneous	Female	tnf_ikk_tbk_pde3b_axis	catecholamine_resistance	aspc	0.11414373697931489	0.0821027429946162	233
subcutaneous	Female	tnf_ikk_tbk_pde3b_axis	catecholamine_resistance	macrophage	-0.15908668313581736	0.015143682235860368	233
subcutaneous	Female	tnf_ikk_tbk_pde3b_axis	catecholamine_resistance	endothelial	0.25070582074429937	1.1511028048890006e-4	233
subcutaneous	Female	tnf_ikk_tbk_pde3b_axis	catecholamine_resistance	t_cell	0.2641505675026468	4.7251941546287116e-5	233
subcutaneous	Female	lipolysis_nodes	metabolism	adipocyte	0.9385035412931965	1.1522740950288187e-108	233
subcutaneous	Female	lipolysis_nodes	metabolism	aspc	-0.6217559757592316	0	233
subcutaneous	Female	lipolysis_nodes	metabolism	macrophage	0.26550433927968337	4.30873675431918e-5	233
subcutaneous	Female	lipolysis_nodes	metabolism	endothelial	-0.06784227562679539	0.3022147056766487	233
subcutaneous	Female	lipolysis_nodes	metabolism	t_cell	-0.2985659695738133	3.888217398044785e-6	233
subcutaneous	Female	thermogenesis_nodes	metabolism	adipocyte	0.12259071631905531	0.06172653155365536	233
subcutaneous	Female	thermogenesis_nodes	metabolism	aspc	0.050220474114213945	0.4452173233108781	233
subcutaneous	Female	thermogenesis_nodes	metabolism	macrophage	0.036902850984544044	0.5749044307078414	233
subcutaneous	Female	thermogenesis_nodes	metabolism	endothelial	-0.17353323998284778	0.008002303863788968	233
subcutaneous	Female	thermogenesis_nodes	metabolism	t_cell	-0.020970655312818998	0.7499921899614179	233
visceral	Female	inflammation_cytokines	inflammation	adipocyte	0.1837189745754574	0.01355946374619291	180
visceral	Female	inflammation_cytokines	inflammation	aspc	-0.23554019156969866	0.001496718002742405	180
visceral	Female	inflammation_cytokines	inflammation	macrophage	0.22785112267118754	0.002096474088385122	180
visceral	Female	inflammation_cytokines	inflammation	endothelial	-0.164784921345309	0.027167989205744706	180
visceral	Female	inflammation_cytokines	inflammation	t_cell	0.004568042223525417	0.9514324621611017	180
visceral	Female	macrophage_markers	inflammation	adipocyte	0.19852394951449728	0.007549802489200917	180
visceral	Female	macrophage_markers	inflammation	aspc	-0.13011101165673838	0.08171618477535375	180
visceral	Female	macrophage_markers	inflammation	macrophage	0.5818998156330222	1.065515867223288e-17	180
visceral	Female	macrophage_markers	inflammation	endothelial	-0.4674465261273496	4.867569248706473e-11	180
visceral	Female	macrophage_markers	inflammation	t_cell	0.014588927641799644	0.8457384232276791	180
visceral	Female	fibrosis_ecm	fibrosis	adipocyte	-0.05531974829698142	0.46076563542165183	180
visceral	Female	fibrosis_ecm	fibrosis	aspc	0.18089858740496104	0.015192886621580224	180
visceral	Female	fibrosis_ecm	fibrosis	macrophage	0.4557289951942221	1.2893396966430366e-10	180
visceral	Female	fibrosis_ecm	fibrosis	endothelial	-0.3359383520067492	4.589649168991319e-6	180
visceral	Female	fibrosis_ecm	fibrosis	t_cell	0.08610348056009959	0.25017777180904466	180
visceral	Female	senescence_ovx	senescence	adipocyte	-0.191414233414513	0.01005168361703545	180
visceral	Female	senescence_ovx	senescence	aspc	0.3709949895572908	3.6164492268798844e-7	180
visceral	Female	senescence_ovx	senescence	macrophage	0.09783038124732635	0.19137423167153625	180
visceral	Female	senescence_ovx	senescence	endothelial	-0.1313579637231602	0.07881425781464416	180
visceral	Female	senescence_ovx	senescence	t_cell	0.21884214533370372	0.00322166997011241	180
visceral	Female	dnl_lipogenesis	metabolism	adipocyte	0.757547738744129	8.383131829783398e-35	180
visceral	Female	dnl_lipogenesis	metabolism	aspc	-0.48098192331039025	6.503610417600846e-12	180
visceral	Female	dnl_lipogenesis	metabolism	macrophage	0.309158326200694	2.4126910166693802e-5	180
visceral	Female	dnl_lipogenesis	metabolism	endothelial	-0.43991686986223855	9.521392569384453e-10	180
visceral	Female	dnl_lipogenesis	metabolism	t_cell	-0.1811681430496826	0.015040094742876148	180
visceral	Female	adrenergic_beta	adrenergic	adipocyte	0.6444901482454757	1.644941964684642e-22	180
visceral	Female	adrenergic_beta	adrenergic	aspc	-0.38824449314279247	9.283784795702051e-8	180
visceral	Female	adrenergic_beta	adrenergic	macrophage	0.018329821557950175	0.8070545364873146	180
visceral	Female	adrenergic_beta	adrenergic	endothelial	-0.25609226622220854	5.413693531360803e-4	180
visceral	Female	adrenergic_beta	adrenergic	t_cell	-0.3444015761803348	2.551745056820856e-6	180
visceral	Female	adrenergic_alpha2	adrenergic	adipocyte	0.34714156095735227	1.803702634069436e-6	180
visceral	Female	adrenergic_alpha2	adrenergic	aspc	-0.3939401421854584	5.826925178292026e-8	180
visceral	Female	adrenergic_alpha2	adrenergic	macrophage	0.16357945940641727	0.028223888024949493	180
visceral	Female	adrenergic_alpha2	adrenergic	endothelial	-0.021019167258248712	0.7792236309328929	180
visceral	Female	adrenergic_alpha2	adrenergic	t_cell	-0.13698776711215366	0.06673274161183197	180
