gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol	estrogen_responsive	significant	significant_relaxed
ENSG00000107562.17	25313.851901958395	0.11699896638599487	0.250094969122111	0.4678181524270052	0.6399146382798977	0.8614750412826657	CXCL12	TRUE	FALSE	FALSE
ENSG00000140443.15	4778.279390737875	0.056664469250873345	0.14047428536489273	0.40337965844555135	0.6866689487415585	0.8817937088319152	IGF1R	TRUE	FALSE	FALSE
ENSG00000082175.16	864.0081469974027	0.057322540667345163	0.1658145378050356	0.3457027437168681	0.7295661220751091	0.9012872781197657	PGR	TRUE	FALSE	FALSE
ENSG00000124216.4	1000.4646749721101	0.07697527391545743	0.25724138878667074	0.2992336275220964	0.7647617930201489	0.9154894586882422	SNAI1	TRUE	FALSE	FALSE
ENSG00000019549.13	1916.8501343850633	0.038508954407181696	0.17834171817382272	0.21592790964169428	0.8290439414947177	0.9374488928601119	SNAI2	TRUE	FALSE	FALSE
ENSG00000166851.15	142.24883002162306	0.03683710923501282	0.1755523638672018	0.20983544979706792	0.8337961040138175	0.9391872555829324	PLK1	TRUE	FALSE	FALSE
ENSG00000132646.11	1754.9272520345514	-0.01083073579317944	0.08356637148407406	-0.1296063907147571	0.8968778468398265	0.9629573650394853	PCNA	TRUE	FALSE	FALSE
ENSG00000107485.18	562.7300844594835	0.027702998507251213	0.26504888479251204	0.10452033604645393	0.9167564308335414	0.970044420236716	GATA3	TRUE	FALSE	FALSE
ENSG00000170558.10	30.933790298576113	-0.012446518796361035	0.38041442022040567	-0.032718314908119765	0.9738992185251791	0.989497534355089	CDH2	TRUE	FALSE	FALSE
ENSG00000160182.3	3.1672048854091597	-0.990682449426082	1.0752224211176538	-0.9213744337625552	0.35685497193568627	NA	TFF1	TRUE	NA	NA
