PC	covar	n	r	p
PC104	SMRIN	1301	-0.024772173415509885	0.371966960085949
PC104	SMTSISCH	1301	-0.032851379635704794	0.23636974700149732
PC105	SMRIN	1301	0.028588723333775812	0.30282374316708005
PC105	SMTSISCH	1301	0.048408728394073695	0.08091219447752
PC106	SMRIN	1301	-0.017658015969204383	0.5245476441952845
PC106	SMTSISCH	1301	0.028157311774800294	0.3101812997839482
PC107	SMRIN	1301	0.004294373065882988	0.8770206274425797
PC107	SMTSISCH	1301	-0.04597861878353735	0.09737747746733567
PC108	SMRIN	1301	0.00508671280059214	0.854563112778999
PC108	SMTSISCH	1301	-0.052468247340352325	0.058493491281465804
PC109	SMRIN	1301	-0.013047309289025059	0.6382292957403171
PC109	SMTSISCH	1301	0.040600670930356	0.14329321943857226
PC110	SMRIN	1301	-0.040266141950764396	0.1466219522304916
PC110	SMTSISCH	1301	0.019032626147210963	0.4927779177326018
PC111	SMRIN	1301	0.01270712090489542	0.6470128894202805
PC111	SMTSISCH	1301	-0.037470490972830776	0.17678754829529
PC112	SMRIN	1301	0.003981913924589026	0.8859050486364405
PC112	SMTSISCH	1301	0.012470266377301998	0.6531576534376027
PC113	SMRIN	1301	0.037041517171986955	0.18179832074012137
PC113	SMTSISCH	1301	0.020787553500386066	0.4537641841561558
PC114	SMRIN	1301	0.020618290843472865	0.4574495622160295
PC114	SMTSISCH	1301	0.022036039733476634	0.42710307183417295
PC115	SMRIN	1301	0.011613736055388854	0.6755730431811776
PC115	SMTSISCH	1301	0.006522530751772784	0.8141777000245537
PC116	SMRIN	1301	0.012863525572066931	0.6429683561456927
PC116	SMTSISCH	1301	-0.004149341655020741	0.8811425765568208
PC117	SMRIN	1301	-0.03422696130527277	0.21730726459265837
PC117	SMTSISCH	1301	-0.03452816990108361	0.21328485952977558
PC118	SMRIN	1301	0.01559506408680807	0.5741175607646326
PC118	SMTSISCH	1301	-0.03226111160805492	0.24490157888486938
PC119	SMRIN	1301	0.010459806624329732	0.706228319552743
PC119	SMTSISCH	1301	-0.05973980224214902	0.031190738924730874
PC120	SMRIN	1301	0.026826094562369323	0.33362180211740133
PC120	SMTSISCH	1301	-0.019206653471453186	0.48883059336528023
PC121	SMRIN	1301	-0.014017796496797194	0.613452076862951
PC121	SMTSISCH	1301	0.0016456795728095226	0.9527118699423778
PC122	SMRIN	1301	0.014722520727253762	0.5957303251419725
PC122	SMTSISCH	1301	-0.04216698353740747	0.12847302635041072
PC123	SMRIN	1301	0.012124667721916862	0.6621658086256661
PC123	SMTSISCH	1301	-0.013111578567104341	0.6365755086131613
PC124	SMRIN	1301	-0.013165108576032059	0.6351994449203863
PC124	SMTSISCH	1301	-0.031227778996777266	0.2603525014237743
PC125	SMRIN	1301	0.008513398792768965	0.7590082527585735
PC125	SMTSISCH	1301	0.001320315079154247	0.9620532131456991
PC126	SMRIN	1301	-0.0011546958602451627	0.9668102863520741
PC126	SMTSISCH	1301	-0.047632566938608366	0.08590603334236298
PC127	SMRIN	1301	0.024873438676415817	0.37001473708530797
PC127	SMTSISCH	1301	-0.05866694721512463	0.03435596795091566
PC128	SMRIN	1301	0.01878162382496135	0.4985011255892914
PC128	SMTSISCH	1301	-0.02546004870286735	0.35883139328263014
PC129	SMRIN	1301	0.037634211349080536	0.17490250548999278
PC129	SMTSISCH	1301	-0.03462035825895301	0.21206455240852132
PC130	SMRIN	1301	0.014047119241629371	0.6127100792491826
PC130	SMTSISCH	1301	0.034713460717961074	0.21083726757216348
PC131	SMRIN	1301	-0.002161747683980824	0.9379091624705933
PC131	SMTSISCH	1301	-0.04360882210864393	0.11590903318738852
PC132	SMRIN	1301	0.029367198892367788	0.28984272982582227
PC132	SMTSISCH	1301	1.9682054576696694e-4	0.9943411543340137
PC133	SMRIN	1301	-0.013476480375186875	0.6272202524192908
PC133	SMTSISCH	1301	-0.033143457273295186	0.2322265539288714
PC134	SMRIN	1301	0.029376116946972248	0.28969622324846755
PC134	SMTSISCH	1301	0.015066007024294331	0.5871780274627802
PC135	SMRIN	1301	0.004305017763819621	0.8767182234223347
PC135	SMTSISCH	1301	0.0014848832434252272	0.9573276651470182
PC136	SMRIN	1301	-0.01990615222169844	0.47313753548543713
PC136	SMTSISCH	1301	-0.003183730461735875	0.9086630306082769
PC137	SMRIN	1301	-0.04023105624570709	0.14697446816626247
PC137	SMTSISCH	1301	-0.0024298869901540933	0.9302260817782837
PC138	SMRIN	1301	-0.02475002169792209	0.37239485652138105
PC138	SMTSISCH	1301	-0.02927848607553144	0.2913028245626009
PC139	SMRIN	1301	2.4052441847010751e-4	0.9930846399490035
PC139	SMTSISCH	1301	-0.028311731544134678	0.3075342971900811
PC140	SMRIN	1301	0.02886113322817049	0.29823809289681386
PC140	SMTSISCH	1301	-0.02306258817798032	0.4058809049914146
