gene_id,gene_symbol
ENSG00000200600.1,Y_RNA
ENSG00000200605.1,Y_RNA
ENSG00000200610.1,Y_RNA
ENSG00000200615.1,Y_RNA
ENSG00000200616.1,Y_RNA
ENSG00000200630.1,Y_RNA
ENSG00000200635.1,Y_RNA
ENSG00000200651.1,Y_RNA
ENSG00000200664.1,Y_RNA
ENSG00000200685.1,Y_RNA
ENSG00000200688.1,Y_RNA
ENSG00000200702.1,Y_RNA
ENSG00000200714.1,Y_RNA
ENSG00000200737.1,Y_RNA
ENSG00000200742.1,Y_RNA
ENSG00000200750.1,Y_RNA
ENSG00000200752.1,Y_RNA
ENSG00000200754.1,Y_RNA
ENSG00000200764.1,Y_RNA
ENSG00000200769.1,Y_RNA
ENSG00000200788.1,Y_RNA
ENSG00000200822.1,Y_RNA
ENSG00000200829.1,Y_RNA
ENSG00000200834.1,Y_RNA
ENSG00000200847.1,Y_RNA
ENSG00000200849.1,Y_RNA
ENSG00000200855.1,Y_RNA
ENSG00000200857.1,Y_RNA
ENSG00000200860.1,Y_RNA
ENSG00000200874.1,Y_RNA
ENSG00000200883.1,Y_RNA
ENSG00000200884.1,Y_RNA
ENSG00000200888.1,Y_RNA
ENSG00000200922.1,Y_RNA
ENSG00000200953.1,Y_RNA
ENSG00000200976.1,Y_RNA
ENSG00000200982.1,Y_RNA
ENSG00000200998.1,Y_RNA
ENSG00000201006.1,Y_RNA
ENSG00000201012.1,Y_RNA
ENSG00000201013.1,Y_RNA
ENSG00000201026.1,Y_RNA
ENSG00000201031.1,Y_RNA
ENSG00000201034.1,Y_RNA
ENSG00000201047.1,Y_RNA
ENSG00000201048.1,Y_RNA
ENSG00000201071.1,Y_RNA
ENSG00000201074.1,Y_RNA
ENSG00000201075.2,Y_RNA
ENSG00000201084.1,Y_RNA
ENSG00000201088.1,Y_RNA
ENSG00000201102.1,Y_RNA
ENSG00000201114.1,Y_RNA
ENSG00000201118.1,Y_RNA
ENSG00000201134.1,Y_RNA
ENSG00000201160.1,Y_RNA
ENSG00000201178.1,Y_RNA
ENSG00000201196.1,Y_RNA
ENSG00000201207.1,Y_RNA
ENSG00000201208.1,Y_RNA
ENSG00000201216.1,Y_RNA
ENSG00000201217.1,Y_RNA
ENSG00000201218.1,Y_RNA
ENSG00000201228.1,Y_RNA
ENSG00000201239.1,Y_RNA
ENSG00000201277.1,Y_RNA
ENSG00000201279.1,Y_RNA
ENSG00000201282.1,Y_RNA
ENSG00000201297.1,Y_RNA
ENSG00000201309.1,Y_RNA
ENSG00000201311.1,Y_RNA
ENSG00000201314.1,Y_RNA
ENSG00000201339.1,Y_RNA
ENSG00000201340.1,Y_RNA
ENSG00000201343.1,Y_RNA
ENSG00000201351.1,Y_RNA
ENSG00000201354.1,Y_RNA
ENSG00000201363.2,Y_RNA
ENSG00000201365.1,Y_RNA
ENSG00000201370.1,Y_RNA
ENSG00000201371.1,Y_RNA
ENSG00000201412.1,Y_RNA
ENSG00000201421.1,Y_RNA
ENSG00000201426.1,Y_RNA
ENSG00000201432.1,Y_RNA
ENSG00000201442.2,Y_RNA
ENSG00000201451.1,Y_RNA
ENSG00000201464.1,Y_RNA
ENSG00000201466.1,Y_RNA
ENSG00000201483.1,Y_RNA
ENSG00000201489.1,Y_RNA
ENSG00000201498.1,Y_RNA
ENSG00000201501.1,Y_RNA
ENSG00000201511.1,Y_RNA
ENSG00000201529.1,Y_RNA
ENSG00000201535.2,Y_RNA
ENSG00000201547.1,Y_RNA
ENSG00000201548.1,Y_RNA
ENSG00000201549.1,Y_RNA
ENSG00000201554.1,Y_RNA
ENSG00000201555.1,Y_RNA
ENSG00000201563.1,Y_RNA
ENSG00000201565.1,Y_RNA
ENSG00000201566.1,Y_RNA
ENSG00000201573.1,Y_RNA
ENSG00000201584.1,Y_RNA
ENSG00000201596.1,Y_RNA
ENSG00000201602.1,Y_RNA
ENSG00000201624.1,Y_RNA
ENSG00000201627.1,Y_RNA
ENSG00000201633.1,Y_RNA
ENSG00000201635.1,Y_RNA
ENSG00000201644.2,Y_RNA
ENSG00000201663.1,Y_RNA
ENSG00000201668.1,Y_RNA
ENSG00000201676.1,Y_RNA
ENSG00000201680.1,Y_RNA
ENSG00000201683.1,Y_RNA
ENSG00000201723.2,Y_RNA
