PC,n_age,r_age,p_age,n_sex,r_sex,p_sex,lm_n,lm_beta_age_mid,lm_p_age_mid,lm_beta_sex_num,lm_p_sex_num,scope
PC401,1301,0.01900807433117719,0.49333617745106273,1301,0.002033838927168428,0.9415762520969996,1301,0.0016523682545257837,0.49483814354774847,0.0030915254721242506,0.9632804115039648,both_depots
PC402,1301,0.021973602917374786,0.42841435124493077,1301,0.0024001016360267824,0.9310792235708081,1301,0.0019198610702032188,0.4270653528477635,0.0033831787138047,0.9597630824236743,both_depots
PC403,1301,-0.011978951239496253,0.6659787422657564,1301,0.0031758610251915492,0.9088878102560322,1301,-0.0010507367272364196,0.6634410379702584,0.008740564102849832,0.8961889071194578,both_depots
PC404,1301,0.019762641328636647,0.4763344114887499,1301,-0.003362286591583573,0.9035648176491233,1301,0.001727382452972398,0.47331640330079117,-0.009970304018113146,0.8813994939759406,both_depots
PC405,1301,-0.010678006163959256,0.7003931633717652,1301,-0.0016589416158059428,0.9523312403348307,1301,-9.272362159122302e-4,0.7000567304281761,-0.002820440477191044,0.9663097741076774,both_depots
PC406,1301,-0.007154441848820004,0.7965523780037149,1301,-0.0015223978652611529,0.9562506425280166,1301,-6.154404946074933e-4,0.7979547707921724,-0.002966178698060928,0.9645298346437374,both_depots
PC407,1301,-0.01583678546757403,0.5681964353844962,1301,-0.003513419177424508,0.8992527063237704,1301,-0.0013616340159154211,0.570640101504682,-0.006865561102759205,0.9179084758268109,both_depots
PC408,1301,0.014683223194890432,0.5967123813895745,1301,0.002478290625209645,0.9288398278768368,1301,0.0012726142151049135,0.5957382409922394,0.004275949746293215,0.9487686141708267,both_depots
PC409,1301,-0.015038116511758395,0.587870337566931,1301,7.765324485328392e-4,0.9776764090684362,1301,-0.001301260614878792,0.5863811175648938,0.0033278765924768428,0.9599988184150385,both_depots
PC410,1301,0.030609679007426338,0.2699102239533469,1301,-6.442824071320048e-4,0.9814775530757356,1301,0.0026658339831715804,0.26448220830875224,-0.005084413095696321,0.9388419535307955,both_depots
PC411,1301,-0.00673481516948205,0.8082456768726953,1301,-1.5586446066506433e-4,0.9955186808455341,1301,-5.758154772428613e-4,0.8093995700164672,1.8295727179643391e-4,0.9977960199064894,both_depots
PC412,1301,-0.018009855615719925,0.5163173665261072,1301,-0.0028469010539590215,0.9182904015665625,1301,-0.0015341455901088288,0.5201596802080495,-0.005220770347180444,0.93712350103314,both_depots
PC413,1301,0.007442104377960521,0.788562490819897,1301,-4.1140450343593436e-4,0.988171921268959,1301,6.443118059199287e-4,0.7869288539194825,-0.0017654511801577818,0.9787029293008682,both_depots
PC414,1301,-0.04486153739462167,0.10579484576718093,1301,0.0010777280960080448,0.9690214398048613,1301,-0.0038478803628303735,0.10528806328778201,0.006784201963446117,0.9179775363008138,both_depots
PC415,1301,-0.03355740523593511,0.226443199204665,1301,0.0014797564709008453,0.9574748578436281,1301,-0.0028673361072768834,0.22688868671142814,0.006439703192523125,0.922054721895498,both_depots
PC416,1301,-0.0016559474163898103,0.9524171749378741,1301,0.002191865149577104,0.9370458959346553,1301,-1.36738134376104e-4,0.954044137334175,0.005053654614546531,0.9388088041310321,both_depots
PC417,1301,0.005320106380424695,0.8479695053269675,1301,-4.427347379292906e-4,0.9872712354829863,1301,4.586141585446306e-4,0.8464763310354306,-0.0016165360011011806,0.9803755456853807,both_depots
PC418,1301,0.001257727790820003,0.9638507554984928,1301,4.815091526616617e-4,0.986156565966462,1301,8.996578046748472e-5,0.9696681823463482,0.0014077465896291323,0.9828905757911428,both_depots
