PC	covar	n	p
PC106	SMCENTER	1301	0.8069048216842624
PC106	SMNABTCH	1301	0.012850901685453497
PC106	SMGEBTCH	1301	0.0012894377094584794
PC107	SMCENTER	1301	0.16500468792313905
PC107	SMNABTCH	1301	0.01145199071824855
PC107	SMGEBTCH	1301	1.0468366536890893e-8
PC108	SMCENTER	1301	0.9552546959814452
PC108	SMNABTCH	1301	0.02390219174998189
PC108	SMGEBTCH	1301	6.372276567156311e-7
PC109	SMCENTER	1301	0.46821450832405936
PC109	SMNABTCH	1301	0.4634222896654494
PC109	SMGEBTCH	1301	0.060246716349744975
PC110	SMCENTER	1301	0.05803423252316177
PC110	SMNABTCH	1301	0.002101596924602496
PC110	SMGEBTCH	1301	0.00152602843712961
PC111	SMCENTER	1301	0.6742938026483312
PC111	SMNABTCH	1301	0.05886369162550273
PC111	SMGEBTCH	1301	0.22300817204586357
PC112	SMCENTER	1301	0.45269661327561755
PC112	SMNABTCH	1301	0.2974766372423419
PC112	SMGEBTCH	1301	0.04722635721944585
PC113	SMCENTER	1301	0.3709908413574541
PC113	SMNABTCH	1301	0.48093775124461596
PC113	SMGEBTCH	1301	4.1931219258854715e-9
PC114	SMCENTER	1301	0.7386674160620508
PC114	SMNABTCH	1301	0.012192169799392742
PC114	SMGEBTCH	1301	1.5075899862381152e-5
PC115	SMCENTER	1301	0.4878598415457031
PC115	SMNABTCH	1301	0.7152534179421095
PC115	SMGEBTCH	1301	0.22410262380686488
PC116	SMCENTER	1301	0.004064406703582279
PC116	SMNABTCH	1301	0.25576955013334074
PC116	SMGEBTCH	1301	0.2361457460545842
PC117	SMCENTER	1301	0.719420217559015
PC117	SMNABTCH	1301	0.7076261716002692
PC117	SMGEBTCH	1301	1.3236367313947762e-5
PC118	SMCENTER	1301	0.004000794554098412
PC118	SMNABTCH	1301	0.12182747433203675
PC118	SMGEBTCH	1301	0.07646907220065371
PC119	SMCENTER	1301	0.8457292652350388
PC119	SMNABTCH	1301	0.1125062937323211
PC119	SMGEBTCH	1301	0.01247355341455397
PC120	SMCENTER	1301	0.00719240657683478
PC120	SMNABTCH	1301	0.26937041255185334
PC120	SMGEBTCH	1301	0.17992056026958822
PC121	SMCENTER	1301	0.05088200447505389
PC121	SMNABTCH	1301	0.010771389007253492
PC121	SMGEBTCH	1301	1.7180035348830014e-6
PC122	SMCENTER	1301	0.009816657730078627
PC122	SMNABTCH	1301	0.4242807866771944
PC122	SMGEBTCH	1301	7.963043176582751e-5
PC123	SMCENTER	1301	0.24187433237494865
PC123	SMNABTCH	1301	0.0067673614964758304
PC123	SMGEBTCH	1301	4.179393487402361e-5
PC124	SMCENTER	1301	0.39979837268663776
PC124	SMNABTCH	1301	2.6883826598072917e-4
PC124	SMGEBTCH	1301	5.798460339737272e-5
PC125	SMCENTER	1301	0.007142022418110652
PC125	SMNABTCH	1301	0.0021088909061442737
PC125	SMGEBTCH	1301	1.361743163620134e-5
PC126	SMCENTER	1301	0.6022680180438259
PC126	SMNABTCH	1301	0.03364118238166433
PC126	SMGEBTCH	1301	0.001043503654858218
PC127	SMCENTER	1301	0.8040792773517393
PC127	SMNABTCH	1301	0.26440216977452785
PC127	SMGEBTCH	1301	0.043988776841047725
PC128	SMCENTER	1301	0.8910377714338951
