PC,covar,n,p
PC217,SMCENTER,1301,0.25781423465253017
PC218,SMCENTER,1301,0.3373451622409976
PC219,SMCENTER,1301,0.5985102066793775
PC220,SMCENTER,1301,0.7839939437264865
PC221,SMCENTER,1301,0.7636719264713201
PC222,SMCENTER,1301,0.6069701875166199
PC223,SMCENTER,1301,0.20053906422843498
PC224,SMCENTER,1301,0.25209378863552684
PC225,SMCENTER,1301,0.19511562230734383
PC226,SMCENTER,1301,0.32041842853379027
PC227,SMCENTER,1301,0.7950734448469505
PC228,SMCENTER,1301,0.0928472596301603
PC229,SMCENTER,1301,0.9159569244373036
PC230,SMCENTER,1301,0.48430970501176074
PC231,SMCENTER,1301,0.436991626058801
PC232,SMCENTER,1301,0.903662110185807
PC233,SMCENTER,1301,0.8175922430152187
PC234,SMCENTER,1301,0.5927833319687231
PC235,SMCENTER,1301,0.42827780771252455
PC236,SMCENTER,1301,0.6878095764242836
PC237,SMCENTER,1301,0.34699895074749204
PC238,SMCENTER,1301,0.2311296904641378
PC239,SMCENTER,1301,0.5917553928490167
PC240,SMCENTER,1301,0.1254095462496889
PC241,SMCENTER,1301,0.8804600018397495
PC242,SMCENTER,1301,0.002579460363393927
PC243,SMCENTER,1301,0.9091332442112894
PC244,SMCENTER,1301,0.1770514980425855
PC245,SMCENTER,1301,0.8079794325181413
PC246,SMCENTER,1301,0.14500913785737432
PC247,SMCENTER,1301,0.7588192522531323
PC248,SMCENTER,1301,0.6382964322048001
PC249,SMCENTER,1301,0.0535734959870334
PC250,SMCENTER,1301,0.9281763192165451
PC251,SMCENTER,1301,0.08131072739623331
PC252,SMCENTER,1301,0.1822728474760722
PC253,SMCENTER,1301,0.15279320921301687
PC254,SMCENTER,1301,0.221771149839735
PC255,SMCENTER,1301,0.10968472803292716
PC256,SMCENTER,1301,0.8626802970182096
PC257,SMCENTER,1301,0.28762106903726986
PC258,SMCENTER,1301,0.8570459495960566
PC259,SMCENTER,1301,0.71184931533095
PC260,SMCENTER,1301,0.08544415404147761
PC261,SMCENTER,1301,0.6773637091035702
PC262,SMCENTER,1301,0.15933843788748922
PC263,SMCENTER,1301,0.0020975151789717084
PC264,SMCENTER,1301,0.6637578782914546
PC265,SMCENTER,1301,0.3444364467194289
PC266,SMCENTER,1301,0.6859764841905363
PC267,SMCENTER,1301,0.9047453610219639
PC268,SMCENTER,1301,0.3287607564046993
PC269,SMCENTER,1301,0.5075150111954162
PC270,SMCENTER,1301,0.1942428529753442
PC271,SMCENTER,1301,0.39506110944014294
PC272,SMCENTER,1301,0.3022647483673792
PC273,SMCENTER,1301,0.05600826888781431
PC274,SMCENTER,1301,0.08184610813674659
PC275,SMCENTER,1301,0.29316072268885834
PC276,SMCENTER,1301,0.9654735654335764
PC277,SMCENTER,1301,0.7683137285523176
PC278,SMCENTER,1301,0.23958632752611517
PC279,SMCENTER,1301,0.10796731589361969
PC280,SMCENTER,1301,0.8647321285426538
PC281,SMCENTER,1301,0.39818031634573364
PC282,SMCENTER,1301,0.2540364413491406
PC283,SMCENTER,1301,0.4213310429232143
PC284,SMCENTER,1301,0.06078162148801401
PC285,SMCENTER,1301,0.7532361932336846
PC286,SMCENTER,1301,0.18586288151332855
PC287,SMCENTER,1301,0.6302016330493317
PC288,SMCENTER,1301,0.5170520654546984
PC289,SMCENTER,1301,0.3183005561813382
PC290,SMCENTER,1301,0.054322854395000106
PC291,SMCENTER,1301,0.6231416117775476
PC292,SMCENTER,1301,0.1546519124225786
PC293,SMCENTER,1301,0.2890452767268851
PC294,SMCENTER,1301,0.04525428280546306
PC295,SMCENTER,1301,0.6288965638778643
PC296,SMCENTER,1301,0.6482399660501444
PC297,SMCENTER,1301,0.9305977393539362
PC298,SMCENTER,1301,0.18988819124112963
PC299,SMCENTER,1301,0.950409649914566
PC300,SMCENTER,1301,0.23395206513356598
PC301,SMCENTER,1301,0.2956168179694897
PC302,SMCENTER,1301,0.9273508316270254
PC303,SMCENTER,1301,0.19367725608625644
PC304,SMCENTER,1301,0.8863771149169251
PC305,SMCENTER,1301,0.006816488785679784
PC306,SMCENTER,1301,0.7869802497643719
PC307,SMCENTER,1301,0.20074963044935829
PC308,SMCENTER,1301,0.7934276417023217
PC309,SMCENTER,1301,0.7854278793871294
PC310,SMCENTER,1301,0.3326856961473711
PC311,SMCENTER,1301,0.03755870728402511
PC312,SMCENTER,1301,0.4575067625861902
PC313,SMCENTER,1301,0.14126605574920503
PC314,SMCENTER,1301,0.729640439163513
PC315,SMCENTER,1301,0.11977473730210932
PC316,SMCENTER,1301,0.7442664534621135
PC317,SMCENTER,1301,0.9337113055403228
PC318,SMCENTER,1301,0.7130323504099713
PC319,SMCENTER,1301,0.10566547980497452
PC320,SMCENTER,1301,0.62500750575425
PC321,SMCENTER,1301,0.1067337254266542
PC322,SMCENTER,1301,0.7390356270756233
PC323,SMCENTER,1301,0.5935402609412803
PC324,SMCENTER,1301,0.7240285861077891
PC325,SMCENTER,1301,0.9208981388439927
PC326,SMCENTER,1301,0.7736264574316325
PC327,SMCENTER,1301,0.4060312825727659
PC328,SMCENTER,1301,0.04009860042988319
PC329,SMCENTER,1301,0.6473923300707123
PC330,SMCENTER,1301,0.7997563753808795
PC331,SMCENTER,1301,0.7468258222249745
PC332,SMCENTER,1301,0.11415413791696509
PC333,SMCENTER,1301,0.6583999705646835
PC334,SMCENTER,1301,0.5696034648651589
PC335,SMCENTER,1301,0.48372646980880996
PC336,SMCENTER,1301,0.4663897193771386
PC337,SMCENTER,1301,0.6970889073250179
PC338,SMCENTER,1301,0.48900891376132005
PC339,SMCENTER,1301,0.1131436509382445
PC340,SMCENTER,1301,0.16046475063359136
PC341,SMCENTER,1301,0.9338213970133966
PC342,SMCENTER,1301,0.39955694135271164
PC343,SMCENTER,1301,0.49574165787337204
PC344,SMCENTER,1301,0.5733872532038811
PC345,SMCENTER,1301,0.2683147201291023
PC346,SMCENTER,1301,0.5388835743784173
PC347,SMCENTER,1301,0.9650058318490026
PC348,SMCENTER,1301,0.9051504944455895
PC349,SMCENTER,1301,0.6316636131998374
PC350,SMCENTER,1301,0.007206047391912701
PC351,SMCENTER,1301,0.665526773818494
