gene_id	gene_symbol	log2FoldChange	padj
ENSG00000256124.6	LINC01152	2.422956860899916	0.0038010972319624994
ENSG00000104881.16	PPP1R13L	0.3872044099174767	0.004046282091988662
ENSG00000166396.13	SERPINB7	1.612654341467176	0.00448523817146399
ENSG00000156171.15	DRAM2	-0.2820548267932097	0.004676517695886116
ENSG00000107719.9	PALD1	0.4045658320442046	0.0048085411130591605
ENSG00000169884.14	WNT10B	0.9102826764180185	0.0048085411130591605
ENSG00000086205.18	FOLH1	1.0917532640634	0.004857877429902679
ENSG00000048540.16	LMO3	0.5618361589923905	0.0049587756070915276
ENSG00000155511.18	GRIA1	0.9854147758458527	0.004993688159680416
ENSG00000184292.7	TACSTD2	0.8861588738403556	0.005238586267029842
ENSG00000186854.11	TRABD2A	-0.5848737775436995	0.005411421168838275
ENSG00000152592.15	DMP1	1.855605848482941	0.005411421168838275
ENSG00000281903.2	LINC02246	-0.6198267611298638	0.005411421168838275
ENSG00000188536.13	HBA2	1.103439789042938	0.005465873178774231
ENSG00000169174.11	PCSK9	1.3995467178259935	0.005485773902093296
ENSG00000165684.6	SNAPC4	0.2269834163677753	0.005485773902093296
ENSG00000197859.11	ADAMTSL2	0.7884306557953173	0.0063598896065845565
ENSG00000225614.4	ZNF469	0.6400031354415633	0.0063598896065845565
ENSG00000131095.14	GFAP	-0.7361217220485198	0.006442370366042327
ENSG00000143847.16	PPFIA4	1.076801041599366	0.006588404520738113
ENSG00000164932.13	CTHRC1	0.7926363032729442	0.0067630361860253835
ENSG00000225210.10	DUXAP9	0.8382158999660986	0.0067630361860253835
ENSG00000118526.7	TCF21	0.6549240381666659	0.0068618103995246454
ENSG00000203761.5	MSTO2P	0.3486604239183669	0.007040895206698135
ENSG00000277128.2	ENSG00000277128	1.0566157466572041	0.007326697034243876
ENSG00000244486.9	SCARF2	0.45523657216166424	0.0074948547536002755
ENSG00000099282.10	TSPAN15	-0.4948827166712493	0.008315795626254414
ENSG00000205426.11	KRT81	1.2487788679226237	0.008334112059457261
ENSG00000204764.14	RANBP17	-0.44294208402735175	0.009230789315135069
ENSG00000050628.21	PTGER3	-0.6764855302143535	0.009362458074650182
ENSG00000163421.9	PROK2	1.1158092410726417	0.009362458074650182
ENSG00000112319.20	EYA4	0.702210054949355	0.009362458074650182
ENSG00000261578.1	ENSG00000261578	-0.8483947989092661	0.009362458074650182
ENSG00000139044.12	B4GALNT3	0.9083475868667484	0.009362458074650182
ENSG00000257671.1	KRT7-AS	1.2307017264983988	0.009362458074650182
ENSG00000069535.14	MAOB	-0.6187430158756252	0.009362458074650182
ENSG00000106853.20	PTGR1	-0.3192037713099381	0.009408062974994592
ENSG00000164574.16	GALNT10	0.29484473935002903	0.009499832811630396
ENSG00000134243.12	SORT1	-0.3651989776383193	0.009571073971069282
ENSG00000232573.1	RPL3P4	-0.6438304154364269	0.009571073971069282
ENSG00000076864.21	RAP1GAP	0.8091203884719029	0.009674145567008302
ENSG00000277156.1	TOMM40P1	0.9519075261499529	0.009674145567008302
ENSG00000034053.15	APBA2	0.5916147695183991	0.009674145567008302
ENSG00000095637.23	SORBS1	-0.500729570048241	0.009715231578540937
ENSG00000113739.11	STC2	0.9185356047061894	0.00991561946459498
ENSG00000160746.13	ANO10	-0.20533562667662006	0.010061956164166263
ENSG00000204055.5	ENSG00000204055	0.8009957921049999	0.010208805082725172
ENSG00000182885.17	ADGRG3	0.8070817119829486	0.010636828131687618
ENSG00000140474.14	ULK3	0.1747573244171165	0.010661789545975435
ENSG00000278530.5	CHMP1B2P	0.5917512400213868	0.010668053116696677
ENSG00000144191.12	CNGA3	1.34826937183363	0.010887679394279762
ENSG00000008300.17	CELSR3	0.42211512228676706	0.010887679394279762
ENSG00000121057.13	AKAP1	-0.25608662269775573	0.01149959695335731
ENSG00000155324.10	GRAMD2B	0.31362117827216923	0.011613187345458688
ENSG00000279118.1	ENSG00000279118	0.3381574375823553	0.011613187345458688
ENSG00000169083.18	AR	-0.449175103888829	0.011613187345458688
ENSG00000163221.9	S100A12	1.1270989633041126	0.012140288258267415
ENSG00000082482.14	KCNK2	0.9247252182237612	0.012140288258267415
ENSG00000163069.13	SGCB	-0.27169893293750397	0.012140288258267415
ENSG00000113318.11	MSH3	-0.25135362958144003	0.012140288258267415
ENSG00000118523.6	CCN2	0.6540618449160915	0.012140288258267415
ENSG00000065618.21	COL17A1	0.9741333372435679	0.012140288258267415
ENSG00000179846.11	NKPD1	0.6665532485366731	0.012140288258267415
ENSG00000235513.2	L3MBTL2-AS1	0.3390810616325184	0.012140288258267415
