Mixture,adipocyte,aspc,b_cell,dendritic_cell,endothelial,lec,macrophage,mast_cell,mesothelium,monocyte,nk_cell,pericyte,smc,t_cell,P-value,Correlation,RMSE
GTEX-T6MO-1726-SM-33HB8,0.21719754802107,0.0512843173286422,0,0.0155685863522611,0.183401653421561,0,0.096751692744794,0,0,0.0263222057622025,0.113949968794191,0.0956020035319942,0.048400982025679,0.151521042017605,9999,0.553085628478565,0.843965622046263
GTEX-T8EM-1126-SM-3DB7D,0.123524648405665,0.0679439891799041,0,0.0893978958070008,0.166546434910806,0,0.0699962707234195,0,0,0.0105703797909913,0.108954576491468,0.0729473419827178,0.138806416812136,0.151312045895891,9999,0.562676893946223,0.834729315198581
GTEX-TKQ1-1126-SM-4GIAZ,0.214046825973423,0.0552383271879653,0,0.0807309669674013,0.164635132154697,0,0.074793604970469,0,0,0.0280709108757071,0.115378139318918,0.0708528114165689,0.0439490346541206,0.15230424648073,9999,0.553581941825932,0.843905759738069
GTEX-TML8-2026-SM-32QOP,0.18098207375287,0.146876386738319,0,0.0905901591397424,0.126340041587405,0,0.0969335463552122,0,0,0.0161613676057762,0.109093823500989,0.052970419856571103,0.0371017193520208,0.142950462111094,9999,0.5322310187392,0.859966064115542
GTEX-TMZS-0226-SM-3DB9N,0.193197213099356,0.0772354489384574,0,0.0722658834794304,0.17689695064312,0,0.0519374970247787,0,0,0.0501545231778283,0.111157156668483,0.0744896672822918,0.0511643010515294,0.141501358634725,9999,0.575704537035079,0.825696706381798
GTEX-TSE9-0226-SM-3DB84,0,0.156736951414358,0,0,0.197789364894412,0,0.0940616287263407,0,0,0.0435077785333902,0.118038966912026,0.0950644726743271,0.118942939994616,0.175857896850531,9999,0.618449206319596,0.791426619498426
GTEX-U3ZM-1026-SM-EZ6LD,0.146016038171059,0.0914659763824995,0,0.0320187651554067,0.187752915600744,0,0.0998674395686269,0,0,0.0487531001052131,0.114357903389704,0.0703396494821875,0.0544949581625411,0.154933253982018,9999,0.59874540231529,0.806310293595797
GTEX-U4B1-1726-SM-3DB9F,0.200825265196017,0.108741569579806,0,0.0536683570266943,0.14502449889052,0,0.0936655263698707,0,0,0.0403298721702841,0.115799486804947,0.0402956609725547,0.0499089232910987,0.151740839698207,9999,0.588919983882573,0.814015722064751
GTEX-U8XE-0426-SM-3DB91,0.139395161858217,0.0610723786905713,0,0.0667673287577598,0.155458621517713,0,0.0765647122416967,0,0,0.0670566840349264,0.103046893499264,0.121069197132719,0.0455009447256874,0.164068077541446,9999,0.61534609062723,0.793161650979007
GTEX-UJHI-1626-SM-3DB9A,0.0371166597659479,0.26692990986971,0,0.0346372902063966,0.145469836366918,0,0.131335732285448,0,0,0.0198032177834313,0.124088136113646,0.0269714001717783,0.0599174954878765,0.153730321948847,9999,0.571168535080717,0.831314128195386
GTEX-UTHO-0426-SM-CE6QU,0.0143158147258964,0.137718519644572,0,0.00857170931181183,0.145373463581176,0,0.0766150021924894,0,0,0.0460882731767763,0.117357865194235,0.00329662371635583,0.288294442961545,0.162368285495142,9999,0.601587306121726,0.804147339008464
GTEX-VJWN-0226-SM-EZ6LF,0,0.242227998431749,0,0.143013399485298,0.131488845511942,0,0.0857106607888383,0,0,0,0.114425287511652,0.0655588608742825,0.0760543831910584,0.141520564205179,9999,0.555619414284421,0.845481341252777
GTEX-VUSG-2426-SM-4KKZG,0.142122221582661,0.122542223451773,0,0.0244847976053331,0.154486450014205,0,0.111988291961197,0,0,0.0311808885849009,0.102835765898731,0.09534031340052,0.0607490495231545,0.154269997977525,9999,0.596962993609222,0.806903854237057
GTEX-VUSH-0226-SM-EXUQV,0.0673573130433306,0.116339679344218,0,0.0279179253645955,0.168594289561724,0,0.0732522872554567,0,0,0.0509317415180511,0.121058901586896,0.0787589312652961,0.113664879795764,0.182124051264668,9999,0.579602505796935,0.823938981093511
GTEX-W5WG-2526-SM-4SOJ2,0.130890568254082,0.125380065185834,0,0.0111008666889077,0.19583414392919,0,0.0335632608773074,0,0,0.0853432619365725,0.114249321976658,0.0823228778050626,0.0647413483523631,0.156574284994024,9999,0.591583385724749,0.813694289278879
GTEX-W5X1-2626-SM-4LMI8,0.00815575496682796,0.191239873451186,0,0.114450555956886,0.190118458296977,0,0.0230100537994149,0,0,0.0229777005567149,0.144464359010972,0.0915346178455413,0.0612517850135445,0.152796841101935,9999,0.594552587841847,0.813975336163845
GTEX-WEY5-1926-SM-3GIL8,0.182414286367668,0.0897219307211119,0,0.0104505302375898,0.18175034482289,0,0.0943427094315675,0,0,0.0336241137577436,0.103492560716376,0.075548266031239,0.0739483960577096,0.154706861856104,9999,0.549186699880694,0.846223508811902
GTEX-WFG7-2526-SM-EWRM5,0.17946073194229,0.0832348459289141,0,0.0574251883478859,0.146532355531667,0,0.111619806564479,0,0,0.0379319170505883,0.129643965159201,0.0589221135447187,0.041873007187826,0.153356068742431,9999,0.571900980640632,0.829050030777745
GTEX-WFG8-2326-SM-DIPDX,0.139453479098724,0.145619380455085,0,0.0367282557510685,0.152315218156228,0,0.108360186351292,0,0,0.0657197657851342,0.10887773876735,0.0549023422384554,0.0357091162060525,0.152314517190611,9999,0.584380330367758,0.819150259594455
GTEX-WFJO-1926-SM-3GILA,0.0905906554569057,0.181209930584858,0,0.025031228226653,0.160929464023142,0,0.119124681784802,0,0,0.0312395586372247,0.106092862028742,0.0314931798048298,0.063162281212087,0.191126158240755,9999,0.619305510391406,0.788682470909068
GTEX-WFON-2226-SM-3TW8W,0.0333604503957743,0.180163649520603,0,0.0281315667324691,0.158918857627519,0,0.0801002313186024,0,0,0.0661156505793177,0.131664625147492,0.0260292074471396,0.125544883371522,0.169970877859561,9999,0.625298708720682,0.784617830435329
GTEX-WH7G-2226-SM-3NMBN,0.199266596351727,0.0905742994670079,0,0.0343374086747621,0.169554560374525,0,0.0729949913748712,0,0,0.0752059751669524,0.0905791181408135,0.046658331612494,0.0546373531949068,0.16619136564194,9999,0.580366444699581,0.822266159581726
GTEX-WHPG-2126-SM-4M1ZM,0.155279488156681,0.186409616393575,0,0.053618477105526,0.127759566180404,0,0.0774333861127487,0,0,0.0610283035363353,0.103264296264617,0.0308390432488327,0.0638049166965831,0.140562906304697,9999,0.6171551934338,0.78979992268877
GTEX-WHWD-2126-SM-GNIO7,0.0437488343626075,0.21333577651849,0,0.00317069874818867,0.192528868785655,0,0.092290504180828,0,0,0.0432189528628361,0.114935432575382,0.0235251332822621,0.110088348724458,0.163157449959293,9999,0.592452062054453,0.812447106713454
GTEX-WI4N-1126-SM-3LK7Q,0,0.144509939587244,0,0,0.180394902723668,0,0.0814488167358434,0,0,0.102066410116615,0.0905586911952084,0.0551450392545188,0.174518653929402,0.171357546457499,9999,0.588506729855883,0.81856203786102
GTEX-WL46-0326-SM-3LK6Y,0.0274380377530838,0.189970302193584,0,0.0377821926596442,0.172240809545485,0,0.136694796241274,0,0,0.00941893155215867,0.107773023433479,0.0401958353276133,0.123036075815144,0.155449995478533,9999,0.602520801387405,0.802758770420953
GTEX-WVJS-0226-SM-4MVOU,0,0.234185836470675,0,0.0784602755982981,0.167639037605467,0,0.0120572055380762,0,0,0.0304251992127865,0.128292155274977,0.107416029260041,0.0749779269446098,0.16654633409507,9999,0.557277036871151,0.846916663243545
GTEX-WVLH-0226-SM-3MJG6,0.0658177338548765,0.177789005947867,0,0.074177071486855,0.173772987629196,0,0.0721500910277332,0,0,0.0288740769760362,0.112846312014673,0.0613646792117054,0.0802747648912587,0.152933276959799,9999,0.605901856617023,0.800388897664629
GTEX-WWTW-0226-SM-F21IX,0.00397026573208606,0.071200775523591,0,0.125540896217828,0.22652328340451,0,0.015899963768227,0,0,0,0.126842278664778,0.0527766027679602,0.21099647565953,0.16624945826149,9999,0.624434413743618,0.785594610012207
GTEX-WY7C-2426-SM-3NB2V,0.179463937854502,0.106306408148538,0,0.00606586812079438,0.167272332277543,0,0.138765918851061,0,0,0.0320935158776254,0.113965195698829,0.0585979826325892,0.0506798035832075,0.146789036955311,9999,0.557780012090025,0.839412702861037
GTEX-WYJK-0226-SM-EYYV8,0.0455814764599689,0.107062056468716,0,0.117846544686115,0.203874116683938,0,0.0509352779991181,0,0,0.019756335304896,0.119398071466813,0.10871647229458,0.0654195344189844,0.161410114216871,9999,0.63183307710907,0.77893281990555
GTEX-X15G-2326-SM-4PQZS,0.181983008384047,0.166897813075976,0,0.0655860062372773,0.168102314637792,0,0.0384466259002743,0,0,0.0271486233413676,0.104483939966702,0.032688681302141503,0.0549489791186462,0.159714008035776,9999,0.578541942492959,0.822481135993056
GTEX-X261-0226-SM-3NMD2,0,0.167182764487957,0,0.10921374273232,0.195416395935298,0,0.0435666903300362,0,0,0.0198520207041103,0.122664729808221,0.0307463641299769,0.139149415705567,0.172207876166512,9999,0.621547800499212,0.788445819682095
GTEX-X4EO-0426-SM-4QASA,0.0882787144729778,0.221954243681907,0,0.00431486720971496,0.201785325018535,0,0.0363210790535709,0,0,0.0662384200279232,0.0980703112512782,0.0245012412659417,0.0846459568146871,0.173889841203464,9999,0.601706826059834,0.804841931405048
GTEX-X4LF-1726-SM-3NMBZ,0.0475951510658381,0.257703827613987,0,0,0.181277336482415,0,0.104056233338218,0,0,0.0492053243117562,0.111221691131155,0.00795489636068903,0.0702024742267317,0.17078306546921,9999,0.606150752714981,0.801558834166634
GTEX-X4XY-0326-SM-46MVZ,0.0424946396094429,0.15043795240706,0,0.0417157700839174,0.140282055865599,0,0.0560372681796107,0,0,0.0759853250344331,0.11915144826251,0.060838060348621,0.134292223692488,0.178765256516318,9999,0.573837956916006,0.830166479803096
GTEX-X5EB-2426-SM-4E3HX,0.0973602301134144,0.185946690475072,0,0.0278042492225944,0.166317975455423,0,0.033652720394607,0,0,0.0680622645942241,0.128222586992435,0.0234780523606592,0.109545066275766,0.159610164115805,9999,0.604288982440959,0.801984315524701
GTEX-X638-0226-SM-47JZ9,0.0664558999240417,0.168716597978371,0,0.0768660697063415,0.146804083575626,0,0.0518827327110696,0,0,0.0258023005619264,0.131856664251902,0.01669781406067,0.172375196161899,0.142542641068152,9999,0.611104681743077,0.79474756847278
GTEX-X88G-0226-SM-4GIE4,0.0697894600418391,0.183931373172839,0,0.0523636018439495,0.14289140892439,0,0.121922164152047,0,0,0.0661734246345597,0.131995387459639,0.105130496842056,0,0.12580268292868,9999,0.589285143789327,0.817336851016318
GTEX-X8HC-0226-SM-4E3K1,0.0576787574479648,0.105745627551209,0,0.0611639243513433,0.209247601970849,0,0.0475717470587734,0,0,0.0808765348078972,0.0859149459251694,0.119925108826743,0.0413915925942011,0.19048415946585,9999,0.617485961043396,0.793823824425722
GTEX-XAJ8-0926-SM-47JXZ,0.109667895179163,0.171214416219049,0,0.0572240990586946,0.132325973526705,0,0.0434857352531289,0,0,0.0744099628264008,0.120024988353854,0.0223228906019907,0.104538196048823,0.164785842932191,9999,0.621733165093965,0.786690559433691
GTEX-XBEC-0326-SM-G8W6Y,0.0079077654021261,0.198612971416035,0,0.0740275081982941,0.19224323348435,0,0.0385714798539308,0,0,0.0195357676266766,0.08032700642739,0.011746767802747,0.189119607599128,0.187907892189323,9999,0.579742650279635,0.823639225270131
GTEX-XBED-2326-SM-47JYR,0.115237097767945,0.0904153426565214,0,0.121411221659877,0.168748218697517,0,0.0544752369928411,0,0,0,0.114387462127606,0.0424151244899652,0.128804125943751,0.164106169663976,9999,0.592824341092576,0.810029583057462
GTEX-XBEW-0726-SM-4QARX,0.0856124245131479,0.10918880500282,0,0.0331933000222464,0.176963461096672,0,0.0944422226990276,0,0,0.0497957499818294,0.118043603605956,0.111749088849318,0.0660682979642662,0.154943046264717,9999,0.608336878326838,0.798841468224915
GTEX-XGQ4-2226-SM-4AT4Y,0.150723385120142,0.115623300644246,0,0.0309464638011255,0.174062828427228,0,0.0721221923993325,0,0,0.0906484134587659,0.113077599887721,0.0516321294009437,0.0601374161623238,0.141026270698172,9999,0.583892531458975,0.819703248507631
GTEX-XK95-0426-SM-4AT4R,0.00516281722631112,0.0593052899461324,0,0.0301606095470847,0.220248348191466,0,0.0995350377939194,0,0,0.0590224344927146,0.108186327529684,0.112316340966228,0.11804446463394801,0.188018329672512,9999,0.618625596524089,0.792983504150965
GTEX-XLM4-0226-SM-4AT4N,0.0635880987200999,0.11942689211729,0,0.141214783195506,0.185707826238682,0,0.023253670283114,0,0,0,0.120840093248638,0.0480302061546946,0.138631582299586,0.159306847742389,9999,0.622339233322598,0.785610302939754
GTEX-XMD1-0326-SM-GPRWS,0.0355097642046328,0.148807111772153,0,0.0914009371017298,0.24531063924648,0,0.0598084660960656,0,0,0.0100653012172089,0.118291502821914,0.0698700421790246,0.0604756952731935,0.160460540087598,9999,0.587774597866968,0.818074179555513
GTEX-XMD2-0226-SM-4WWEE,0,0.143233386096159,0,0.0583261727262617,0.172930985013721,0,0.129410737055064,0,0,0.0521610657157867,0.138225057142079,0.0572986389424075,0.102148346358341,0.14626561095018,9999,0.572976172043363,0.832076121800907
GTEX-XMD3-0226-SM-GNTAP,0,0.147960709787817,0,0.151643111439063,0.171210976130698,0,0.0349621075232485,0,0,0,0.116954307334641,0.0343924410675371,0.19880588245852,0.144070464258474,9999,0.619882463452096,0.788511937575449
GTEX-XMK1-2226-SM-4B673,0.214879958447195,0.0841048316825777,0,0.0275545605932894,0.173699316857748,0,0.0639022067193903,0,0,0.0408041343891254,0.0991428905842315,0.0622397205262225,0.0869953945386144,0.146676985661605,9999,0.567050658277874,0.831437441989343
GTEX-XOT4-0226-SM-4B66Z,0.0576199325493019,0.186342280086961,0,0.0873120004948651,0.182947472361652,0,0.0162629938645109,0,0,0.0199625591744855,0.135564203060961,0.0294669974617882,0.125479466656242,0.159042094289232,9999,0.628120469079893,0.780922745204501
GTEX-XPVG-2726-SM-4B66W,0.174208647632221,0.056662783708714,0,0.0760973903870503,0.201625015085698,0,0.0804743093353722,0,0,0,0.0941596814381898,0.0662690472721512,0.0633919842787136,0.18711114086189,9999,0.598318879616674,0.80595120904746
GTEX-XQ3S-1626-SM-4WAYN,0.0486894644456762,0.191785501064603,0,0.0169954210926488,0.166548750549858,0,0.0649828929492498,0,0,0.0522920741362041,0.117873589246682,0.0226448136784102,0.166056854104874,0.152130638731794,9999,0.605225294891421,0.800648702762906
GTEX-XQ8I-0526-SM-4BOPS,0.0772662441037149,0.151407791882366,0,0.079188490259823,0.168130473051795,0,0.0589263159103332,0,0,0.0321052522146049,0.123899583109199,0.0233411686575565,0.126607671429305,0.159127009381302,9999,0.583602149534821,0.818986312845204
GTEX-XUW1-0526-SM-4BOP3,0.146601891067765,0.0888788768447011,0,0.0644857774126075,0.169008842486776,0,0.0734567961741825,0,0,0.033117037044269,0.11613332967839,0.0968773784234698,0.0531862981463335,0.158253772721506,9999,0.579881001560867,0.82230571749001
GTEX-XUYS-0226-SM-47JX1,0.208047890793455,0.103233291540697,0,0.0160839845553198,0.168139880348598,0,0.0525219166698566,0,0,0.0309828547792113,0.126725360108754,0.0441620747906787,0.0882349634960761,0.161867782917353,9999,0.5763105571195,0.82395844138085494
GTEX-XUZC-1826-SM-4BRVO,0.16700691771614,0.117876573166488,0,0.0334257051689132,0.161558374136693,0,0.0860110727259842,0,0,0.064022662808857,0.113932862829673,0.0593196262389938,0.0439893686978422,0.152856836510415,9999,0.57499376399367,0.826707697031314
GTEX-XV7Q-2626-SM-4BRVA,0.0729518792536624,0.167529493306579,0,0,0.164059367731796,0,0.144314490539912,0,0,0.0176713916205475,0.103440676738668,0.100273795505385,0.052566358977936,0.177192546325515,9999,0.592935075229774,0.811518619783187
GTEX-XXEK-2426-SM-4BRUS,0.0810497790706831,0.136961930652501,0,0.0769014576480405,0.176071224252554,0,0.0561813960114412,0,0,0.0264848580455698,0.0985233624789089,0.0658776793153756,0.125759950957697,0.156188361567229,9999,0.614643667485431,0.791865333097216
GTEX-XYKS-2726-SM-4E3IC,0.0515676997000176,0.181042692572134,0,0.0401982294754816,0.147848701161557,0,0.0762715708076302,0,0,0.0890196132639839,0.117833848978282,0.0147374576120037,0.109326945217481,0.172153241211428,9999,0.582249634017512,0.823192779957509
GTEX-Y111-0226-SM-4SOIW,0,0.13638349313944,0,0.106113132319347,0.176706259460718,0,0.0166532216621719,0,0,0,0.119485354782771,0.0487146537585211,0.233580462323268,0.162363422553763,9999,0.621366924812719,0.787404467665289
GTEX-Y114-2326-SM-4TT7X,0.141575889379743,0.118052780815002,0,0.00581846015615545,0.181748788884794,0,0.0832773236684271,0,0,0.0483629587846058,0.112135577741548,0.093418313247139,0.0502584984404526,0.165351408882133,9999,0.589779843967066,0.814107938365591
GTEX-Y3I4-2226-SM-4TT7O,0.0436994059298184,0.180388662996583,0,0.0314403210814543,0.15569304170243,0,0.104773101980183,0,0,0.0402336842196993,0.120060693090626,0.0123868853660698,0.133035631892202,0.178288571740934,9999,0.592074202191367,0.81269660988337
GTEX-Y3IK-2526-SM-4WWDM,0.113208821760177,0.122969762265904,0,0.0752659110050411,0.142091528509371,0,0.0522726498108462,0,0,0.0617069787550637,0.113742960606421,0.109419799539635,0.0540397747811101,0.155281812966431,9999,0.595753071616623,0.810016919816227
GTEX-Y5V5-2426-SM-5IFJA,0.0791091871030115,0.271778934348493,0,0.0321222840744175,0.144668268991487,0,0.144538788459833,0,0,0.0138354089016025,0.102170786233138,0.0262651500016169,0.0470557975172451,0.138455394369156,9999,0.58434037776179,0.818402069250905
GTEX-Y5V6-2526-SM-5IFJV,0.202787996464583,0.0834366031862096,0,0.148785647904207,0.159319610153326,0,0.00885955555565734,0,0,0.0717202569736945,0.114500024749629,0.0323381569003398,0.0443530400106518,0.133899108101702,9999,0.634870677921327,0.775342588290334
GTEX-Y8E4-0726-SM-4WWFN,0.00851714680845275,0.20236241649169,0,0.0386374497241358,0.160260710800451,0,0.128370108384409,0,0,0.0178882085611149,0.11777150033795,0.0300331137311942,0.132382403786774,0.163776941373829,9999,0.628351253622682,0.780886082970129
GTEX-Y8E5-0226-SM-57WCM,0.163963208413115,0.160165324804326,0,0.0379263020794851,0.156790704736817,0,0.0610897076667521,0,0,0.0553398798835644,0.115772521846746,0.0570502502084714,0.0300626248145543,0.161839475546168,9999,0.568729773384655,0.832252281199731
GTEX-Y8LW-1926-SM-4WWFZ,0.113607188218821,0.214973623310559,0,0.0569017128461451,0.147322962353491,0,0.0673151982906238,0,0,0.055040832048074,0.10849469814973,0.0026466757414019,0.0662370512473833,0.16746005779377,9999,0.624329304923616,0.784356803267386
GTEX-Y9LG-2026-SM-62LFS,0.233686333070499,0.0298460331554929,0,0.0923620783444287,0.156790841599289,0,0.0766670323075325,0,0,0.0431073970727756,0.101784778880869,0.0810488730233174,0.0334085238527481,0.151298108693047,9999,0.556296736128791,0.842833021348841
GTEX-YB5E-2126-SM-5IFI7,0.294475226582243,0.0512694856405837,0,0.00779592988428138,0.127694684613884,0,0.118454394783184,0,0,0.0327570910860638,0.0885419400897798,0.053153173702788,0.0242122235040839,0.201645850113108,9999,0.554145907160913,0.845269600393081
