gs_name	gs_collection	gs_subcollection	gs_collection_name	n_genes
GOBP_CELLULAR_RESPONSE_TO_ESTRADIOL_STIMULUS	C5	GO:BP	GO Biological Process	36
GOBP_RESPONSE_TO_PROGESTERONE	C5	GO:BP	GO Biological Process	36
STEIN_ESRRA_TARGETS_RESPONSIVE_TO_ESTROGEN_UP	C2	CGP	Chemical and Genetic Perturbations	36
YANG_BREAST_CANCER_ESR1_UP	C2	CGP	Chemical and Genetic Perturbations	36
WANG_METASTASIS_OF_BREAST_CANCER_ESR1_DN	C2	CGP	Chemical and Genetic Perturbations	35
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_15	C2	CGP	Chemical and Genetic Perturbations	35
LI_ESTROGENE_T47D_E2_RESPONSE_DN	C2	CGP	Chemical and Genetic Perturbations	34
YANG_BREAST_CANCER_ESR1_LASER_UP	C2	CGP	Chemical and Genetic Perturbations	33
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_5	C2	CGP	Chemical and Genetic Perturbations	33
WILLIAMS_ESR2_TARGETS_UP	C2	CGP	Chemical and Genetic Perturbations	29
WILLIAMS_ESR1_TARGETS_UP	C2	CGP	Chemical and Genetic Perturbations	26
YANG_BREAST_CANCER_ESR1_BULK_UP	C2	CGP	Chemical and Genetic Perturbations	26
REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING	C2	CP:REACTOME	Reactome Pathways	25
WANG_METASTASIS_OF_BREAST_CANCER_ESR1_UP	C2	CGP	Chemical and Genetic Perturbations	24
WP_ESTROGEN_METABOLISM_WP5276	C2	CP:WIKIPATHWAYS	WikiPathways	24
YANG_BREAST_CANCER_ESR1_DN	C2	CGP	Chemical and Genetic Perturbations	24
WP_ESTROGEN_SIGNALING	C2	CP:WIKIPATHWAYS	WikiPathways	23
LI_ESTROGENE_META_E2_RESPONSE_DN	C2	CGP	Chemical and Genetic Perturbations	22
YANG_BREAST_CANCER_ESR1_BULK_DN	C2	CGP	Chemical and Genetic Perturbations	22
STEIN_ESTROGEN_RESPONSE_NOT_VIA_ESRRA	C2	CGP	Chemical and Genetic Perturbations	20
YAO_HOXA10_TARGETS_VIA_PROGESTERONE_DN	C2	CGP	Chemical and Genetic Perturbations	20
GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS	C5	GO:BP	GO Biological Process	19
GOMF_ESTRADIOL_17_BETA_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY	C5	GO:MF	GO Molecular Function	19
SYED_ESTRADIOL_RESPONSE	C2	CGP	Chemical and Genetic Perturbations	18
WP_ESTROGEN_METABOLISM_WP697	C2	CP:WIKIPATHWAYS	WikiPathways	18
GOBP_PROGESTERONE_METABOLIC_PROCESS	C5	GO:BP	GO Biological Process	17
LI_ESTROGENE_NON_MCF7_T47D_E2_RESPONSE_UP	C2	CGP	Chemical and Genetic Perturbations	17
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_4	C2	CGP	Chemical and Genetic Perturbations	17
