model	contrast	gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
bins_40-49_50-59	50-59_vs_40-49	ENSG00000175564.13	UCP3	119.81941070914944	-6.3280453761734856e-6	0.0014425906047931668	0.4794740409473682	0.8930111255672406
bins_40-49_50-59	50-59_vs_40-49	ENSG00000110395.7	CBL	3391.7350089562965	-9.164445238360622e-6	0.0014424739991594166	0.4803944263439737	0.8933496983328371
bins_40-49_50-59	50-59_vs_40-49	ENSG00000112715.26	VEGFA	26163.443983654008	-3.1748410182010577e-6	0.0014426643768438434	0.5030344294269986	0.9001063699486489
bins_40-49_50-59	50-59_vs_40-49	ENSG00000111537.5	IFNG	24.134890296689157	1.3499632555738422e-6	0.0014426890946531055	0.5119469242814347	0.902037416889104
bins_40-49_50-59	50-59_vs_40-49	ENSG00000153234.15	NR4A2	5763.609848445797	-2.202013892112923e-6	0.0014426784054629388	0.5337568924380309	0.9086674583387554
bins_40-49_50-59	50-59_vs_40-49	ENSG00000061273.18	HDAC7	11275.46482992972	-7.0268861608757095e-6	0.0014424176572587512	0.6244550077058093	0.9334137904265223
bins_40-49_50-59	50-59_vs_40-49	ENSG00000176194.18	CIDEA	7285.088340734512	1.7100940779395763e-6	0.0014426786339543504	0.6273764878814485	0.9338356952028387
bins_40-49_50-59	50-59_vs_40-49	ENSG00000120738.8	EGR1	84925.00600371463	-1.787356902530874e-6	0.0014426740694031207	0.6396113372644547	0.9372788501328417
bins_40-49_50-59	50-59_vs_40-49	ENSG00000266524.3	GDF10	168.02085131281848	-1.5343019029232437e-6	0.0014426774318969304	0.6663908881401892	0.9455737183014469
bins_40-49_50-59	50-59_vs_40-49	ENSG00000079435.10	LIPE	35737.84413594022	8.586083507172384e-6	0.0014426890218423145	0.6752743535040462	0.9471472763881446
bins_40-49_50-59	50-59_vs_40-49	ENSG00000164136.17	IL15	776.5690482270829	-2.842180433437856e-6	0.001442615544600048	0.7076518313193392	0.9554793554065852
bins_40-49_50-59	50-59_vs_40-49	ENSG00000099246.18	RAB18	3987.6689583304756	-6.612281635447768e-6	0.001442249913963614	0.7130874737560717	0.9556303718193809
bins_40-49_50-59	50-59_vs_40-49	ENSG00000175445.17	LPL	67572.38206663159	1.4727548567554977e-6	0.0014426707882321938	0.7372515707099121	0.9596727699639886
bins_40-49_50-59	50-59_vs_40-49	ENSG00000166819.12	PLIN1	55718.07103421775	1.0050713583822018e-6	0.0014426769036960097	0.7856973695950986	0.9678437479312549
bins_40-49_50-59	50-59_vs_40-49	ENSG00000123689.6	G0S2	28293.628892093184	-8.628566452026371e-7	0.001442677642346345	0.8018926275121792	0.969159371501273
bins_40-49_50-59	50-59_vs_40-49	ENSG00000074416.16	MGLL	20173.513302774267	-1.9335126548607593e-6	0.0014426199042000538	0.7903074260653001	0.969159371501273
bins_40-49_50-59	50-59_vs_40-49	ENSG00000043591.6	ADRB1	549.9289993064054	8.770015190200562e-7	0.0014426680851562222	0.8450901640218702	0.9754335978607309
bins_40-49_50-59	50-59_vs_40-49	ENSG00000177666.17	PNPLA2	58557.410728085255	-7.162069581520515e-7	0.001442662990922088	0.8783032211044487	0.9822986022512237
bins_40-49_50-59	50-59_vs_40-49	ENSG00000245848.3	CEBPA	3999.6837402556207	-4.753398554738252e-7	0.0014426782276876443	0.8880849873980666	0.9854526367299206
bins_40-49_50-59	50-59_vs_40-49	ENSG00000119508.18	NR4A3	9008.204746334914	-1.914946928552836e-7	0.0014426826218204207	0.9481518925365204	0.9948985605712396
bins_40-49_50-59	50-59_vs_40-49	ENSG00000175387.16	SMAD2	4889.074296135953	1.4967034441825553e-6	0.0014420263200110145	0.9462354210481071	0.9948985605712396
bins_40-49_50-59	50-59_vs_40-49	ENSG00000173757.10	STAT5B	8468.08529968067	1.1024313140674917e-6	0.0014422481120239222	0.9517274076993502	0.99490684536442
bins_40-49_50-59	50-59_vs_40-49	ENSG00000163581.14	SLC2A2	1.7505513318033379	2.796841999455257e-6	0.001442695054713954	0.6666732963555408	NA
