model	contrast	gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
3group	post_vs_pre	ENSG00000175387.16	SMAD2	4781.666092715657	0.026386718566096916	0.032497080129545206	0.2668657031443365	0.6858807637793735
3group	post_vs_pre	ENSG00000175445.17	LPL	73570.95357553604	-0.007256403763484485	0.03863470805684502	0.2933925918611884	0.7073437878330702
3group	post_vs_pre	ENSG00000153234.15	NR4A2	6301.427350461086	0.0058933454144558485	0.038461549864101614	0.3240217433738636	0.7286699612561709
3group	post_vs_pre	ENSG00000176194.18	CIDEA	8468.142303897257	-0.006032913103995714	0.03855686457036498	0.38832565900289656	0.7701436843268484
3group	post_vs_pre	ENSG00000174697.5	LEP	17145.13914871645	0.0035315765196098454	0.03825978909554041	0.4111234392960314	0.7828761627105734
3group	post_vs_pre	ENSG00000111537.5	IFNG	24.579382626783058	0.0025488331539525247	0.03823149175742463	0.4364255219697415	0.7961580940731513
3group	post_vs_pre	ENSG00000245848.3	CEBPA	4156.485963875586	-0.004377958906811877	0.0381782801960996	0.4524298231098076	0.8060466242386886
3group	post_vs_pre	ENSG00000099246.18	RAB18	3937.910794080314	-0.01160115410891042	0.030960397563055114	0.47710228480727784	0.8181272199826876
3group	post_vs_pre	ENSG00000123358.20	NR4A1	62237.397943987555	0.004576629922909442	0.03807354296787958	0.4922936019702567	0.8257807132566035
3group	post_vs_pre	ENSG00000274286.2	ADRA2B	867.8889353678145	-0.007190966397720865	0.03790273310918445	0.4989193195686748	0.8288046277047914
3group	post_vs_pre	ENSG00000120738.8	EGR1	90012.32334679939	-0.004196865510340762	0.03804153053115461	0.5144084843384753	0.8348758394107733
3group	post_vs_pre	ENSG00000184160.8	ADRA2C	1151.8758518947425	-0.004281655747808302	0.03780249121635067	0.5661275998024136	0.8590476495701316
3group	post_vs_pre	ENSG00000109819.9	PPARGC1A	597.3900705458906	0.006853087414326465	0.03734352518498288	0.5911915957147051	0.8712413025116245
3group	post_vs_pre	ENSG00000175564.13	UCP3	122.60130962887615	-0.006938026622192963	0.036224874116499634	0.6036866635739975	0.8763235999452736
3group	post_vs_pre	ENSG00000011198.10	ABHD5	4874.931346204259	-0.004856229535317125	0.037255314917334005	0.6266575914524968	0.8850447331856249
3group	post_vs_pre	ENSG00000110395.7	CBL	3283.352864446192	-0.007557388358468214	0.033523689775936026	0.6514403376250311	0.8940516327015641
3group	post_vs_pre	ENSG00000136856.18	SLC2A8	985.8050729241228	0.008307188431517256	0.033902573983975746	0.6868184602017868	0.9050706316975029
3group	post_vs_pre	ENSG00000169252.6	ADRB2	1867.3547654540116	0.0013236540979574424	0.036986481854528255	0.6959532112675433	0.9077525950806745
3group	post_vs_pre	ENSG00000266524.3	GDF10	163.93845537975548	0.001978705802665555	0.037777574181183424	0.7633240157195469	0.9314531819789086
3group	post_vs_pre	ENSG00000164136.17	IL15	754.2595997694008	-0.002588085865607338	0.03630873350489946	0.8803762535237708	0.969630988904061
3group	post_vs_pre	ENSG00000119508.18	NR4A3	9923.463038360402	7.894274489890976e-4	0.037919011800438475	0.8822004793166451	0.9701639511658587
