model	contrast	gene_id	gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
3group	peri_vs_pre	ENSG00000176194.18	CIDEA	8468.142303897257	-0.0043802046205679	0.029810424060486774	0.20796299873718052	0.6886401872912697
3group	peri_vs_pre	ENSG00000177606.8	JUN	51486.3131204343	4.294359411990744e-4	0.02911785248371418	0.2321936701306252	0.7065407147747201
3group	peri_vs_pre	ENSG00000175564.13	UCP3	122.60130962887615	-0.009898254331767779	0.03035795652742808	0.25682138156759143	0.7259611283940179
3group	peri_vs_pre	ENSG00000109819.9	PPARGC1A	597.3900705458906	-0.007724958790347342	0.03009988843092049	0.262990447200104	0.7304913265005469
3group	peri_vs_pre	ENSG00000120738.8	EGR1	90012.32334679939	-0.004021638490681281	0.02966193865054618	0.29677527337384946	0.7546216938463228
3group	peri_vs_pre	ENSG00000173757.10	STAT5B	8626.205630453165	-0.015173460749803048	0.028247679629202715	0.29881425261042066	0.7557401033753653
3group	peri_vs_pre	ENSG00000170323.9	FABP4	190072.82304252734	0.005408253786552019	0.029735723229669837	0.3111174841513055	0.7636222475973253
3group	peri_vs_pre	ENSG00000108840.16	HDAC5	5042.754460313541	-0.012244572750957144	0.03006044498661886	0.31650874817147767	0.7681662378675371
3group	peri_vs_pre	ENSG00000123358.20	NR4A1	62237.397943987555	-0.003795819627901831	0.02961055270716536	0.3298365938457909	0.7754054484636552
3group	peri_vs_pre	ENSG00000184160.8	ADRA2C	1151.8758518947425	-0.004373573463081696	0.02962002930523504	0.34978662320068404	0.7869777321376586
3group	peri_vs_pre	ENSG00000175445.17	LPL	73570.95357553604	-0.0037166772504799717	0.02956769014900079	0.3633965671689497	0.7938096138181127
3group	peri_vs_pre	ENSG00000112715.26	VEGFA	25807.80528040188	-0.0023752176662036437	0.029223802846073104	0.41651314142876295	0.8178202274304202
3group	peri_vs_pre	ENSG00000109424.4	UCP1	73.08908569783364	-3.2132999898367603e-4	0.029487135416241442	0.49765461350328194	0.855690957063118
3group	peri_vs_pre	ENSG00000245848.3	CEBPA	4156.485963875586	-0.0024962223407310356	0.02946108684666944	0.5198903781705928	0.8638098257704927
3group	peri_vs_pre	ENSG00000110395.7	CBL	3283.352864446192	0.007364298374942907	0.027758492395101447	0.5255261797521937	0.8665531035125614
3group	peri_vs_pre	ENSG00000153234.15	NR4A2	6301.427350461086	-0.0021210596554523823	0.02941835817994053	0.5394604511274331	0.87360386488547
3group	peri_vs_pre	ENSG00000174697.5	LEP	17145.13914871645	0.0015507106017709376	0.029459033017954456	0.5519589240041429	0.8778808037122035
3group	peri_vs_pre	ENSG00000011198.10	ABHD5	4874.931346204259	0.003260603044538714	0.0290831715901521	0.5991900217037289	0.8966816139063716
3group	peri_vs_pre	ENSG00000079435.10	LIPE	36808.265738280636	-0.0017788553127673621	0.029356222388182012	0.6275037061103199	0.9055423881403334
3group	peri_vs_pre	ENSG00000061273.18	HDAC7	11159.139249645696	-0.0054168593495982405	0.026578196533624837	0.6612962673367608	0.917353251880511
3group	peri_vs_pre	ENSG00000119508.18	NR4A3	9923.463038360402	-0.0012922877073284257	0.02939416463740634	0.6697691810503384	0.9195935441426605
3group	peri_vs_pre	ENSG00000074416.16	MGLL	19943.90222153906	-0.008327284445709295	0.030232754002938574	0.6724373709484606	0.919695593357511
3group	peri_vs_pre	ENSG00000099246.18	RAB18	3937.910794080314	0.005477301765344385	0.02546058212745166	0.6835938957662018	0.9233264842139405
3group	peri_vs_pre	ENSG00000164136.17	IL15	754.2595997694008	0.0030100577793863905	0.028729128730489564	0.7031042987693918	0.9301067706476975
3group	peri_vs_pre	ENSG00000150594.7	ADRA2A	5901.199449338279	-0.0048226678541050255	0.029746646617614107	0.7649252767796335	0.9481137070866319
3group	peri_vs_pre	ENSG00000274286.2	ADRA2B	867.8889353678145	-0.0015314285731433857	0.028964228804720646	0.7906939090748282	0.9554813203564971
3group	peri_vs_pre	ENSG00000136856.18	SLC2A8	985.8050729241228	9.861646073291458e-4	0.026910130871709202	0.9225365883233263	0.9858935468854263
3group	peri_vs_pre	ENSG00000266524.3	GDF10	163.93845537975548	8.071956854132048e-4	0.029265884330572183	0.9370685197196635	0.9896848506477055
3group	peri_vs_pre	ENSG00000043591.6	ADRB1	528.5025529550481	3.0192667956852786e-4	0.029176718917793155	0.9395351719176521	0.9902432314195411
3group	peri_vs_pre	ENSG00000163581.14	SLC2A2	1.4938196948949527	2.343000317328257	0.5975768520421161	0.4695501322729651	NA
