depot	score_name	sex	age_bin_label	n	mean	sd	se
subcutaneous	lipolysis_core	Female	50-59	76	0.11143663366760709	0.7731749717375632	0.08868925177576195
subcutaneous	lipolysis_core	Female	60-69	70	0.04272226235750903	0.8629365988289531	0.10314065109620811
subcutaneous	lipolysis_core	Female	70-79	9	-0.5133089883415052	0.7307850127327613	0.24359500424425376
subcutaneous	macrophage_mono	Male	20-29	38	-0.3647152047256845	1.0120555086190586	0.1641770828714004
subcutaneous	macrophage_mono	Male	30-39	44	-0.04721465538371305	0.8857428953379863	0.13353076566177882
subcutaneous	macrophage_mono	Male	40-49	66	-0.06064495745504187	0.8778290876701996	0.10805329122635225
subcutaneous	macrophage_mono	Male	50-59	156	-0.032169218094349694	0.9003442367313388	0.0720852302084198
subcutaneous	macrophage_mono	Male	60-69	163	-0.01141112246812043	1.00688421112703	0.0788652580293127
subcutaneous	macrophage_mono	Male	70-79	14	-0.17495249243249478	0.9155887102301726	0.2447013757771108
subcutaneous	macrophage_mono	Female	20-29	19	0.17185703177589165	1.1196468035471088	0.25686459311158866
subcutaneous	macrophage_mono	Female	30-39	16	0.1534905846281556	0.746782405428653	0.18669560135716326
subcutaneous	macrophage_mono	Female	40-49	43	0.028391185173980545	0.8599956633194213	0.1311481091484518
subcutaneous	macrophage_mono	Female	50-59	76	0.13509261444201717	0.838521551625713	0.09618501856624753
subcutaneous	macrophage_mono	Female	60-69	70	0.14919122782500696	0.891810124335555	0.1065916974699918
subcutaneous	macrophage_mono	Female	70-79	9	0.1793952357724824	0.7660027169420944	0.2553342389806981
subcutaneous	thermogenesis_program	Male	20-29	38	0.2243093647254909	0.40883500027560044	0.0663217947527036
subcutaneous	thermogenesis_program	Male	30-39	44	0.03677211878434961	0.2885384226169999	0.04349880388279932
subcutaneous	thermogenesis_program	Male	40-49	66	0.042301608627048314	0.32894868250326625	0.04049078378501418
subcutaneous	thermogenesis_program	Male	50-59	156	-0.017196493364462124	0.3642957586702497	0.029167003637445326
subcutaneous	thermogenesis_program	Male	60-69	163	-0.11008702068818463	0.3672633298560389	0.028766284100711664
subcutaneous	thermogenesis_program	Male	70-79	14	-0.08896311021920564	0.3429318547926253	0.09165239340320822
subcutaneous	thermogenesis_program	Female	20-29	19	0.2495678393920229	0.41210820927692376	0.09454410726534851
subcutaneous	thermogenesis_program	Female	30-39	16	0.2779993994095619	0.29586593734923194	0.07396648433730799
subcutaneous	thermogenesis_program	Female	40-49	43	0.09367142808481968	0.3655204685915144	0.05574134888750967
subcutaneous	thermogenesis_program	Female	50-59	76	-0.020345302188059165	0.40773039092300456	0.04676988342746606
subcutaneous	thermogenesis_program	Female	60-69	70	-0.01920206112083271	0.4685548338735907	0.056003014248763965
subcutaneous	thermogenesis_program	Female	70-79	9	-0.15428643080712257	0.46938903225604717	0.1564630107520157
