depot	comparison	score_name	model	effect	n	estimate	se	t	p	padj_within
subcutaneous	40-49_vs_60-69	camp_core	tech	male_old_vs_young	342	-0.07248181614422072	0.06948453247123221	-1.0431359838857581	0.29763973769841207	1
subcutaneous	40-49_vs_60-69	camp_core	tech	female_old_vs_young	342	-0.18812859407077676	0.09140254798066913	-2.058242338173815	0.040342313639825184	0.4841077636779022
subcutaneous	40-49_vs_60-69	camp_core	tech	sex_interaction_female_minus_male	342	-0.11564677792655603	0.1124496377753371	-1.0284317514442018	0.30449096855408464	1
subcutaneous	40-49_vs_60-69	camp_core	tech_comp	male_old_vs_young	342	0.009634700958759134	0.06069271928058576	0.158745580573139	0.8739661359241153	1
subcutaneous	40-49_vs_60-69	camp_core	tech_comp	female_old_vs_young	342	-0.16220212490447186	0.079292549854855	-2.045616204818521	0.04158425863175957	0.4990111035811148
subcutaneous	40-49_vs_60-69	camp_core	tech_comp	sex_interaction_female_minus_male	342	-0.17183682586323099	0.09757676502349441	-1.7610424553617485	0.07915454092698058	0.8706999501967865
subcutaneous	40-49_vs_60-69	immediate_early	base	male_old_vs_young	342	0.4621067915129685	0.10565498681303488	4.3737338430670025	1.6315335189627e-5	1.95784022275524e-4
subcutaneous	40-49_vs_60-69	immediate_early	base	female_old_vs_young	342	0.18105042708044428	0.14107126552850746	1.283396915751478	0.20023748905095046	1
subcutaneous	40-49_vs_60-69	immediate_early	base	sex_interaction_female_minus_male	342	-0.28105636443252424	0.17557942516770259	-1.600736328667648	0.11037509168969135	1
subcutaneous	40-49_vs_60-69	immediate_early	tech	male_old_vs_young	342	0.27949646727339456	0.10011929043143744	2.791634519871035	0.005546022927542353	0.06655227513050824
subcutaneous	40-49_vs_60-69	immediate_early	tech	female_old_vs_young	342	0.05249845163934794	0.13170065224571734	0.3986195265107739	0.6904282823785799	1
subcutaneous	40-49_vs_60-69	immediate_early	tech	sex_interaction_female_minus_male	342	-0.22699801563404662	0.16202710938582016	-1.4009878747729632	0.16214611569488646	1
subcutaneous	40-49_vs_60-69	immediate_early	tech_comp	male_old_vs_young	342	0.20782091469196665	0.09665120828017897	2.1502153815762086	0.032262172121024855	0.32262172121024857
subcutaneous	40-49_vs_60-69	immediate_early	tech_comp	female_old_vs_young	342	0.022992311518521658	0.12627084174064218	0.18208725943038703	0.85562570970026	1
subcutaneous	40-49_vs_60-69	immediate_early	tech_comp	sex_interaction_female_minus_male	342	-0.184828603173445	0.15538786779337102	-1.189466113398397	0.23510883085127915	1
subcutaneous	30-39_vs_60-69	acute_beta_adrenergic	base	male_old_vs_young	293	0.3520776860804399	0.1267681100640431	2.7773363971630616	0.005841557581262462	0.04024673219570702
subcutaneous	30-39_vs_60-69	acute_beta_adrenergic	base	female_old_vs_young	293	0.3734169898725659	0.20701661250094977	1.8038020493203302	0.07231083595990315	0.506175851719322
subcutaneous	30-39_vs_60-69	acute_beta_adrenergic	base	sex_interaction_female_minus_male	293	0.02133930379212599	0.24166708570067857	0.08830041430861708	0.9296994911150731	1
subcutaneous	30-39_vs_60-69	acute_beta_adrenergic	tech	male_old_vs_young	293	0.2026999758964762	0.12541107554578643	1.616284486950854	0.10713916776711603	0.6428350066026962
subcutaneous	30-39_vs_60-69	acute_beta_adrenergic	tech	female_old_vs_young	293	0.20872060229565612	0.20152745540467518	1.035693136086777	0.3012232948983009	1
subcutaneous	30-39_vs_60-69	acute_beta_adrenergic	tech	sex_interaction_female_minus_male	293	0.00602062639917992	0.2323008766462877	0.025917364093064575	0.9793413877776925	1
subcutaneous	30-39_vs_60-69	acute_beta_adrenergic	tech_comp	male_old_vs_young	293	0.09420454955187318	0.12259407310232663	0.7684266226577093	0.44287679130320834	1
subcutaneous	30-39_vs_60-69	acute_beta_adrenergic	tech_comp	female_old_vs_young	293	0.10329614595665663	0.19459711800806587	0.53082053328444	0.5959609390491416	1
subcutaneous	30-39_vs_60-69	acute_beta_adrenergic	tech_comp	sex_interaction_female_minus_male	293	0.009091596404783452	0.22327036227978314	0.040720122061658356	0.9675478339677144	1
subcutaneous	30-39_vs_60-69	adrenergic_receptors	base	male_old_vs_young	293	-0.14419860789194272	0.07916812967096276	-1.8214224397021697	0.06958361618883256	0.25462476311592985
subcutaneous	30-39_vs_60-69	adrenergic_receptors	base	female_old_vs_young	293	0.06983268549894123	0.1292842341361631	0.5401485027586034	0.5895135084491495	1
subcutaneous	30-39_vs_60-69	adrenergic_receptors	base	sex_interaction_female_minus_male	293	0.21403129339088395	0.1509238496045209	1.4181409628215094	0.15723449041896764	1
subcutaneous	30-39_vs_60-69	adrenergic_receptors	tech	male_old_vs_young	293	-0.12159638016386001	0.08021537487372556	-1.5158737381116292	0.13065960017086725	0.6532980008543363
subcutaneous	30-39_vs_60-69	adrenergic_receptors	tech	female_old_vs_young	293	0.08066795697135928	0.12890089900179602	0.6258137654279301	0.5319379387320242	1
subcutaneous	30-39_vs_60-69	adrenergic_receptors	tech	sex_interaction_female_minus_male	293	0.2022643371352193	0.14858418064418807	1.3612777366897364	0.17450121518256545	1
subcutaneous	30-39_vs_60-69	adrenergic_receptors	tech_comp	male_old_vs_young	293	-0.014712272281997237	0.07342940346277907	-0.20035941446064995	0.8413439153229314	1
subcutaneous	30-39_vs_60-69	adrenergic_receptors	tech_comp	female_old_vs_young	293	0.17574404413527203	0.11655661590574168	1.5077998170210665	0.13272522011102814	1
subcutaneous	30-39_vs_60-69	adrenergic_receptors	tech_comp	sex_interaction_female_minus_male	293	0.19045631641726926	0.13373084928370738	1.4241763769346885	0.15550101752969464	1
subcutaneous	30-39_vs_60-69	lipolysis_core	base	male_old_vs_young	293	-0.48583931166661104	0.1273701658426363	-3.814388624309851	1.671748238606785e-4	0.002006097886328142
